gene_id,185_026_T0,185_128_T0,185_037_T0,185_057_T0,185_071_T0,185_107_T0,185_184_T0,185_194_T0,PIM046_A1,PIM046_A2,PIM046_A3,PIM056_A1,PIM056_A2,PIM056_A3,185_002_T0,185_002_X0_P3,185_006_T0,185_006_X0_P3,185_014_T0,185_014_X0_P3,185_026_X0_P3,185_071_X0_P3,185_128_X0_P3,185_129_X0_P3,185_198_X0_P3,185_037_X0_P3,185_049_X0_P3,185_107_X0_P3,185_184_X0_P3,185_194_X0_P3
PAPD4,28.92,32.1,45.36,52.09,74.02,38.52,26.96,29.74,8.4,17.24,15.44,16.39,21.49,19.86,16,13.91,14.69,9.94,15.86,12.38,8.56,95.2,38.12,15.64,36.31,21.96,21.23,32.42,23.35,34.39
PAPD5,20.24,16.87,20.39,19.2,26.66,27.9,13.78,15.87,1.31,3.57,2.88,11.54,13.92,13.03,8.47,7.99,5.35,3.85,7.05,7.72,6.16,26.87,15.2,17.62,31.65,14.24,26.01,17.95,14.48,19.46
PAPD7,75.69,117.09,97.61,56.62,65.84,90.74,115.24,139.32,18,30.29,23.17,37.63,40.87,40.95,111.23,108.39,32.24,18.89,50.74,65.57,25.33,132.43,91.26,303.47,179.58,84.02,212.86,171.81,124.88,117.96
PAPLN,4.69,2.11,0.44,1.46,1.21,0.54,0.47,0.94,0.33,0.73,0.42,0.03,0.01,0.05,11.75,23.95,2.95,2.26,9.34,2.2,0.95,0.79,0.26,0.88,1.39,0.45,0.98,1.52,0.35,1.7
PAPOLA,190.43,329.59,444.97,345.82,542.38,315.25,263.19,344.75,62.9,107.01,103.41,104.93,117.23,110.69,93.21,84.29,144.67,136.36,88.31,109.26,68.65,309.65,155.82,194.48,811.42,317.19,195.11,171.35,155.85,489.57
PAPOLB,0.13,0.17,1.53,0.03,0.07,2.83,0.24,0.85,0,0,0,0,0,0,0,0.04,0.4,0,0.08,0.05,0,0,0,22.11,0.02,8.99,8.97,12.25,9.56,11.45
PAPOLG,26.25,40.24,72.66,38.84,43.45,32.39,31.88,39.05,3.09,6.06,5.02,5.53,6.15,6.38,9.64,7.38,8.26,6.55,7.79,8.37,4.01,24.83,18.91,51.93,52.73,31.85,18.56,16.96,15.66,29.87
PAPPA,1.71,2.36,1.26,2.53,1.78,4.28,4.79,6.42,0,0,0,1.33,1.22,1.57,0.79,0.01,0.18,0,2.68,1.55,0,1.05,0.04,4.13,0.13,1.23,5.12,4.06,3.97,11.66
PAPPA2,0.17,0.57,1.69,0.49,0.26,4.09,2,1.58,0.01,0.01,0.01,0,0.01,0.01,0.46,0.28,0.18,0.09,0.26,0.39,0,0.05,0.03,51.43,0.02,1.43,4.83,3.48,10.39,5.8
PAPSS1,99.15,331.07,93.34,162.01,143.47,277.11,252.33,179.23,51.84,86.44,98.24,156.71,154.13,160.11,337.19,326.39,144.43,204.21,232.67,429.59,63,133.33,156.58,44.21,172.45,53.1,280.78,213.19,206.96,171.14
PAPSS2,34.5,76.02,82.16,22.32,456.67,74.11,29.86,137.71,0.36,0.6,0.62,14.38,18.87,13.64,25.64,9.62,99.88,5.63,19.47,5.72,0.12,166.02,37.61,29.16,12.51,140.47,13.29,35.57,9.56,124.51
PAQR3,8.22,33.86,15.61,14.79,16.68,16.79,12.94,14.57,9.68,18.43,16.66,8.9,10.68,12.07,8.54,8.26,9.39,7.16,6,6.4,4.5,14.34,36.7,24.63,25.84,8.94,21.91,27.72,9.48,23.87
PAQR4,43.11,48.86,62.05,37.5,42.55,29.72,24.54,43.85,39.18,36.51,41.15,195.49,170.2,154.48,105.8,161.62,74.42,104.21,45.92,63.09,106.62,59.86,27.64,59.01,41.47,46.76,17.39,18.07,35.03,30.43
PAQR5,1.51,7.97,0.53,1.03,2.09,0.96,1.66,5.31,1.85,2.77,3.29,1.5,1.84,1.5,2.89,1.69,11.67,10.5,1.53,4.7,2.53,23.69,5.23,1.25,15.81,5.3,1.01,1.61,0.49,4.53
PAQR6,6.24,79.13,31.8,7.59,31.28,25.99,91.84,45.45,5.88,7.96,5.07,16.52,15.29,14.69,16.77,8.31,11.27,22.49,2.84,18.37,0.82,36.68,37.54,11.28,26.36,32.52,44.31,25.15,41.63,55.86
PAQR7,14.84,6.34,2.66,10.05,5.42,3.49,3.45,9.13,3.23,2.81,3.26,8.46,6.29,10.05,12.97,12.93,15.91,10.11,23.24,17.16,5.37,16.36,1.35,10.42,4.01,3.45,2.5,3.2,2.78,5.81
PAQR8,14.52,25.29,10.08,9.09,10.64,7.92,13.88,5.68,0.69,1.04,1.22,21.26,21.35,15.7,46.09,40.72,6.75,0.18,9.08,7.36,9.19,1.21,8.2,7.42,1.89,2.42,6.61,8.51,9.87,8.61
PAQR9,0,0,0.06,0.12,0.06,0.29,0.03,0.1,0,0,0,0,0,0,0.45,0.28,0,0,0.08,0,0,0,0,10.48,0,0.91,4.24,10.77,3.92,2.7
PARD3,82.86,202.71,156.6,132.55,165.92,270.51,198.9,136.58,18.49,34.71,32.49,31.97,36.14,31.71,51.33,39.24,69.49,90.15,26.95,45.1,30.96,295,152.58,206.16,218.36,125.79,76.7,265.79,170.64,207.36
PARD3B,2.46,2.9,4.61,1.92,4.74,2.02,6.77,5.93,0.83,1.78,1.68,1.77,2.26,1.69,2.72,0.95,6.1,7.93,6.48,2.97,0.15,6.78,0.46,12.9,1.56,6.03,3.96,2.51,3.03,9.28
PARD6A,19.03,6.6,1.8,2.81,9.97,4.17,2.69,8.49,9.69,6.94,6.85,16.95,12.94,15.15,3.26,1.01,5.76,8.97,5.57,2.91,9,19.16,1.74,58.09,12.12,4.29,1.83,3.58,9.6,12.47
PARD6B,10.01,10.08,13.31,7.99,31.47,13.4,9.2,49.3,4.69,14.79,10.18,3.2,3.87,4.4,18.07,17.11,36.56,33.44,9.74,14.97,6.83,35.41,11.52,16.35,41.75,8.91,7.44,19.95,13.67,89.22
PARD6G,3.12,5.67,1.33,1.93,1.7,1.63,1.33,0.73,4.16,4.89,5.55,2.6,2.71,2.9,6.62,9.74,3.54,8.36,11.41,10.68,2.07,2.51,5.03,1.87,2.14,1.2,0.88,3.35,1.11,0.93
PARG,158.11,191.39,269.91,376.8,170.74,229.67,256.21,220.08,13.49,22.96,24.26,30.68,32.09,31.99,23.43,22.41,18.47,20.3,18.06,24.14,17.08,136.35,115.28,531.81,384.01,176.95,218.79,266.59,192.55,304.95
PARK7,525.3,257.74,479.44,802.41,693.9,655.5,653.01,538.4,156.67,151.34,154.16,516.27,489.32,482.81,262.72,268.09,449.06,340.57,327.64,367.26,490.71,412.75,513.81,575.32,322.56,579.85,395.1,349.78,461.34,694.8
PARL,74,82.26,60.71,63.21,56.57,98.12,62.1,103.46,159.99,188,192.65,58.69,54.65,55.7,58.15,67.35,44.65,34.65,44.67,54.48,47.44,43.45,148.75,61.98,53.5,37.26,65.54,93.08,51.31,60.98
PARM1,15.34,5.51,15.74,16.8,14.14,10.48,7.18,7.79,0.4,0.62,0.94,9.69,11.45,9.61,4.84,0.11,2.44,0.35,15.58,0.52,0.18,25.13,0.06,48,0.08,1.77,5.43,11.38,2.95,2.29
PARN,43.88,55.42,72.56,73.31,127.39,83.05,73.67,58.94,20.1,35.83,35.84,51.63,49.68,49.44,48.68,51.51,30.43,25.7,49.2,47.27,19.14,115.3,43.45,84.18,106.85,45.66,83.76,53.8,51.49,37.76
PARP1,191.52,257.82,169.51,186.8,74.05,208.96,288.18,132.17,53.85,78.01,78.72,172.6,205.48,154.02,257.67,323.11,207.58,235.16,106.64,156.43,127.75,53.83,182.62,297.76,223.22,190.37,163.95,168.59,284.34,259.53
PARP10,17.2,7.57,3.18,1.44,1.22,0.74,0.63,2.1,39.47,31.33,33.94,38.98,39.17,34.84,21.84,30.76,146.64,59.21,30.06,33.99,98.52,3.2,2.01,0.47,0.14,3.02,0.31,2.48,2.31,2.19
PARP11,9.27,4.38,6.9,20.16,6.61,4.07,1.97,4.37,0.66,0.85,1.13,0.96,1.13,1.38,4.78,5.17,4.63,2.56,4.35,2.91,2.09,5.58,0,5.23,0.94,5.79,3.93,2.3,1.02,4.88
PARP12,34.95,57.47,32.26,40.13,35.32,45.75,21.41,63.93,11.99,12.75,15.81,20.16,21.9,19.57,10.2,6.92,21.85,12.12,22.42,24.62,7.39,36.17,20.81,16.72,33.27,11.64,7.28,21.29,14.88,65.03
PARP14,72.35,72.61,131.87,112.52,190.85,150.48,50.51,99.32,1.05,1.77,2.12,10.49,15.35,10.73,11.18,1.26,32.22,8.31,43.04,21.89,5.59,90.37,6.66,25.3,50.62,25.47,6.93,46.7,12.25,189.07
PARP15,8.94,3.26,3.11,1.56,3.55,2.74,3.13,2.55,0.01,0.01,0.02,0,0,0,0.27,0,1.64,0,3.01,0.03,0,0,0.02,0.04,0.06,0.43,1.92,4.05,1.85,1.12
PARP16,9.72,9.58,4.22,4.55,5.58,2.85,3.44,3.45,5.97,8.48,7.79,9.82,8.84,9.28,17.92,20.89,17.13,18.36,14.96,16.46,13.88,10.62,3.41,28.93,8.97,4.77,2.59,5.92,2.58,8.03
PARP2,190.42,130.64,198.49,161.23,272.96,202.54,98.07,117.9,33.04,51.43,49.64,59.72,59.8,53.49,18.36,18.6,26.46,31.25,27.45,33.24,67.34,211.32,72.27,292.99,342.74,141.3,46.8,120.77,51.28,93.85
PARP3,37.9,43.36,10.07,7.29,32.37,5.97,10.8,11.59,3.65,4.91,5.1,13.96,14.84,12.87,12.29,8.15,14.94,15.69,25.89,21.91,10.98,43.22,3.46,10.7,5.01,4.72,3.65,12.4,13.25,8.54
PARP4,104.22,118.04,69.15,63.28,139.98,137.51,218.73,89,19.55,35.77,35.09,48.64,51.06,47.86,41.6,32.85,48.32,65.88,62.9,44.28,19.18,100.81,75.98,40.36,165.06,109.01,85.16,111.22,182.48,201.78
PARP6,76.83,61.67,20.53,29.78,39.97,29.18,47.33,37.97,27.82,45.48,41.26,28.4,32.76,31.57,71.76,55.5,56.96,46.52,55.47,78.23,30.63,81.9,16.86,400.26,42.05,25.84,56.73,51.05,29.28,72.43
PARP8,32.98,12.74,33.68,25.13,49.96,13.89,28.02,17.7,1.5,2,1.88,3.24,4.84,4.47,1.56,0.05,4.91,4.36,7.1,2.34,0.05,33.84,0.75,26.93,0.04,12.16,5.41,1.84,1.98,12.95
PARP9,133.31,144.94,153.22,96.6,155.22,164.93,91.08,114.88,9.44,13.22,16.42,12.79,18.72,15.41,21.34,9,31.61,13.14,40.17,32.54,16.59,122.77,15.39,33.8,21.79,23.33,9.43,35.41,20.34,101.63
PARPBP,4.66,14.09,11.56,19.88,10.25,13.76,6.68,8.79,6.63,10.98,9.57,6.96,7.62,7.55,3.34,4.55,8.11,7.01,2.89,6.27,5.34,9.57,21.37,28.19,52.54,20.45,23.05,24.13,14.62,18.98
PARS2,5.3,5.37,1.28,0.48,1.78,3.62,1.28,5.65,11,11.77,13.08,8.13,6.41,7.19,8.38,9.21,31.47,32.32,8.52,10.54,13.73,6.04,0.29,2.13,3.29,1.3,3.07,11.06,3.16,7.63
PARVA,19.03,31.08,13.57,15.02,39.16,23.44,35.2,28.41,5.71,8.97,9.48,18.7,17.55,18.34,46.63,36.76,24.36,27.63,50.85,18.36,8.79,37.77,5.27,4.25,12.92,8.74,13.84,14.84,28.91,32.54
PARVB,43.05,11.46,6.91,7.24,6.43,15.37,9.8,19.64,0.44,0.13,0.48,13.93,14.09,12.6,79.99,44.43,63.31,35.7,49.34,40.76,114.13,1.83,2.19,11.02,2.48,3.34,7.53,8.66,10.96,8.75
PARVG,29.78,13.4,9.37,12.54,10.08,3.89,13.9,6.1,0,0,0,0,0,0,5.89,1.34,6.79,0.08,13.47,2.56,0.3,0,1.51,0.22,0.09,3.99,0.18,0.08,0.21,0.92
PASD1,0,0,0.3,0.14,0.18,1.16,0.23,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.34,0,0,0,0.26,1.05,2.96,1.78,1.99
PASK,14.39,15.7,4.45,7.07,7.62,4.79,10.49,4.87,2.57,3.78,3.4,5.78,4.89,5.22,7.02,4.45,23.08,14.47,5.54,4.98,6,7.28,2.87,68.24,14.53,5.2,5.5,4.42,6.88,9.08
PATE1,0,0.31,1.24,0.17,1.09,2.24,0.34,0.11,0,0,0,0,0,0,0,0,0.15,0,0,0,0,1.71,0.14,0,0.56,1.85,3.85,5.06,1.84,1.23
PATE2,0,0,0.17,0,0.45,0.85,0.35,0.2,0.02,0.15,0.05,0,0.04,0.19,0.75,1.42,0.73,0.04,0.05,0.5,0.91,0.39,0,0,0.06,0.75,2.32,3.73,1.6,1.07
PATE3,0,0.1,0.21,0.08,0.1,1.02,0.1,0.55,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0.66,0.54,0.12,0.24,0.89,1.93,3.79,0.81,1.28
PATE4,0.1,0.03,0.2,0,0.07,0.34,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0.08,0.21,0.27,0.87,1.43,0.13,0.13
PATJ,79.08,49.09,52.02,38.38,93.34,46.68,51.9,95.48,9.4,19.13,15.32,16.77,20.7,19.66,28.5,30.8,42.6,37.34,31.04,36.39,37.5,83.3,32.83,75.41,280.45,45.1,30,59.87,41.71,128.11
PATL1,96.91,165.54,116.35,122.26,115.02,302.01,152.07,148.91,13.94,32.79,31.37,69.47,84.84,83.11,42.51,39.12,38.44,40.27,53.14,63.8,24.41,73.3,63.89,155.29,434.27,44.61,89.77,160.18,66.57,161.37
PATL2,21.82,5.69,3.12,2.52,3.15,3.02,4.16,1.83,0.02,0.1,0.1,0.1,0.13,0.09,0.19,0.31,1.09,0.22,0.96,0.3,0,0,1.18,1.93,0,0.23,0.14,0.45,0.28,1.23
PATZ1,83.69,45.02,52.97,26.1,23.37,16.32,19.57,13.77,22.04,33.03,31.59,12.87,12.69,13.47,43.57,47.97,31.86,27,22.47,31.7,94.49,9.6,59.21,52.96,53.98,37.03,24.81,13.11,19.83,14.75
PAWR,26.57,35.38,39.64,16.57,64.57,41.25,33.92,38.19,15.45,26.73,25.23,24.49,28.26,26.9,30.29,15.87,32.56,37.15,37.35,31.85,32.7,49.9,35.83,46.49,155.85,49.23,82.01,73.87,47.89,114.32
PAX1,0.1,0.14,0.08,0.13,0.72,0.19,0.11,0.57,0,0,0.01,0,0,0,23.44,4.24,0.07,0.01,2.14,3.43,0.04,3.53,0.2,0,0,0.37,0.5,1.41,0.45,0.52
PAX2,0.05,0,0.07,0.01,0.78,0.18,0.02,0.45,0.01,0.01,0,1.38,1.34,0.85,0.06,0,0,0,0.02,0.05,0,3.77,0,0.08,0,0.8,1.13,1.44,0.3,0.43
PAX3,0.28,1.16,2.95,53.19,1.68,4.36,1.28,1.53,45.24,82.01,72.63,0,0,0,0.12,0.1,0.11,0,0.18,0,0,0,0,1.86,0,2.56,11.77,8.09,7.05,3.68
PAX4,0,0,0.94,0.18,0.03,4.79,0.35,1.93,0,0,0,0,0,0,0,0,0.05,0.03,0,0,0,0,0.4,1017.54,0.31,0.75,1.98,5.24,2.35,3.48
PAX5,3.14,1.12,0.17,0.41,1.03,0.21,0.54,0.91,0,0,0,0.02,0.03,0.01,2.4,0.22,0.7,0,1.41,0,0,1.8,0,3.68,0.01,0.24,0.4,0.56,0.3,0.4
PAX6,1.28,0.43,0.43,24.59,13.27,2.52,0.42,1.73,0.03,0.12,0.03,0,0,0,4.07,19.24,0.15,0.05,1.6,6.79,0.09,10.28,2.98,18.66,0.31,5.95,3.76,22.57,2.21,1.72
PAX7,0.08,0.03,6.19,0.2,0.03,0.84,0.02,1.24,0,0,0,0,0,0.01,0.02,0.02,0,0,0.04,0,0,0.09,0,0,0,20.16,0.53,2.01,0.58,0.65
PAX8,0.91,0.34,0.09,0.22,1.11,0.89,0.22,0.47,0.01,0.04,0.03,10.54,11.53,11.6,0.39,0.16,1.79,2.41,0.77,0.18,0.54,1.63,0.13,0.72,0,0.43,0.6,1.21,0.37,0.38
PAX9,7.84,0.71,55.73,2.12,16.94,2.5,0.73,2.33,0,0,0.01,2.28,3.03,2.45,10.75,8.81,7.5,2.81,0.48,0.28,5.97,28.21,0.19,1.31,22.71,46.86,2.96,2.13,5.27,5.35
PAXBP1,57.78,98.32,55.38,37.7,45.1,38.06,57.4,37.01,11.42,20.9,15.75,24.63,25.78,25.9,71.81,66,43.04,19.86,18.42,20.62,27.57,36.46,89.08,63.03,98.93,49.15,46.26,38.25,37.51,68.39
PAXIP1,36.97,46.32,32.94,19.5,20.54,44.21,41.95,50.28,10.24,21.58,19.02,24.05,24.46,24.93,25.21,22.43,28.96,33.15,17.11,34.01,14.58,36.65,39.82,71.09,175.24,33.97,22.17,69.73,47.42,81.6
PAXX,119.68,77.75,97.51,53.42,104.25,44.52,54.85,68.46,151.33,112.42,104.84,103.52,85.02,91.75,12.93,14.24,107.59,95.51,40.64,44.14,89.91,108.84,85.4,112.95,45.81,94.63,35.12,49.23,34.87,16.77
PBDC1,41.7,63.18,89.64,52.48,69.21,68.58,58.54,43.44,41.12,46.99,46.01,42.57,57.53,37.01,34.07,34.93,28.88,35.15,37.62,37.3,18.52,65.6,210.57,20.14,47.28,80.97,37.01,42.87,133.55,54.29
PBK,18.65,23.54,7.3,7.5,8.92,32.17,3.15,19.95,29.61,45.68,45.9,30.91,33.8,29.58,17.65,25.54,16.82,14.64,12.36,32.76,15.23,19.6,8.85,40.83,32.87,7.66,9.04,32.97,22.62,34.19
PBLD,7.56,3.89,5.66,3.32,8.1,3.23,4.02,1.7,0.72,1.28,1.19,13.6,14.75,14.57,3.13,2.36,2.82,4.33,3.8,4.8,2.57,8.76,4.05,37.77,3.1,5.59,4.39,6.43,2.46,3.4
PBOV1,0.9,0.1,0.48,0.06,1.12,0.67,0.17,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41,0.12,4.47,7.38,1.15,2.63,1.9,1.45,1.47
PBRM1,59.34,105.21,77.23,61.67,100.44,72.88,135.1,42.36,5.59,12.32,12.16,14.07,13.71,15.49,28.18,25.09,53.58,76.17,28.66,25.48,7.28,92.52,87.01,94.27,241.2,69.67,47.93,64.68,95.35,76.26
PBX1,31.34,81.42,57.16,21.23,120.18,43.86,72.75,28.57,19.47,38.23,38,14.26,13.81,12.57,48.29,50.59,116.11,108.32,32.64,35.95,28.01,161.11,29.29,31.38,40.16,49.77,19.03,40.96,65.3,62.09
PBX2,82.62,97.99,42.17,65.06,49.26,51.82,53.72,48.35,16.97,26.52,27.5,47.85,42.42,48.26,91.4,86.21,63.52,66.35,86.06,87.48,41.4,48.12,63.13,78.87,53.25,45.28,37.38,111.57,43.15,62.57
PBX3,47.66,34.55,35.69,108.51,237.38,48.37,72.67,87.5,10.48,16.05,15.97,11.21,12.48,9.55,9.92,11.57,12.93,9.64,15.23,9.33,20.59,172.21,2.69,162.56,215.06,15.14,67.92,18.61,65.72,55.41
PBX4,8.08,2.99,6.66,0.69,4.82,1.96,2.11,1.01,1.09,1.37,0.94,0.9,0.81,0.89,1.69,1.92,2.3,1.61,2.87,1.94,0.21,10.9,0.47,11.8,6,4.11,1.12,8.01,0.15,3.16
PBXIP1,26.69,23.71,14.24,6.79,15.2,4.47,15.8,10.91,68.62,64.04,69.52,47.13,43.5,36.29,44.63,58.21,40.76,24.62,100.56,81.03,16.06,12.32,8.99,17.02,7.31,19.96,4.79,14.99,15.09,12.12
PC,33.55,16.34,4.19,9.21,4.54,5.9,4.89,2.71,4.57,5.5,5.8,29.56,28.36,29.24,13.97,19.06,42.43,21.56,41.14,72.75,44.07,11.79,14.74,4.64,1.4,5.4,1.45,12.6,7.7,4.26
PCBD1,118.18,73.24,107.37,41.24,50.1,49.53,57.42,145.97,49.47,54.82,45.04,275.93,279.53,259.25,87.52,77.23,138.67,84.93,82.94,183.08,105.2,92.09,70.97,161.51,21.47,134.13,32.1,46.86,113.08,114.26
PCBD2,1.91,2.07,2.18,1.76,4.16,5.64,1.26,1.59,4.45,5.54,6.3,11.12,11.91,11.85,5.46,4.19,7.89,6.79,8.09,12.08,6.37,3.59,1.54,1.55,2.48,1.13,1.73,2.83,1.64,1.62
PCBP1,273.67,374.51,352.51,460.3,337.01,298.6,308.7,396.45,156.26,252.9,245.61,293.64,332.03,333.51,432.97,346.33,451.16,616.12,326.67,257.74,367.18,376.3,319.27,124.01,271.25,451.41,287.24,327.88,348.67,349.34
PCBP2,186.04,284.49,173.65,201.18,183.77,146.04,251.21,167.95,98.99,158.04,145.72,174.87,149.49,150.57,261.44,264.03,289.2,324.88,280.41,306.22,271.81,199.43,130.03,372.56,151.43,163.79,215.93,194.1,189.32,186.07
PCBP3,2.31,2.02,0.37,2.87,1.34,0.58,4.51,2.3,0,0,0,4.12,5.89,4.58,4.68,4.66,10.9,0.59,3.71,6.55,0.19,0.05,0,0,0.05,0.08,0.62,0.15,0.46,0.31
PCBP4,23.71,41.28,13.29,7.17,7.06,8.22,19.12,8.32,32.06,34.5,34.82,59.65,55.15,57.76,55.22,76.32,43.38,65.76,64.19,61.03,25.1,12.34,24.64,61.79,9.84,15.08,8.59,22.63,23.16,9.56
PCCA,33.8,33.33,132.78,14.11,101.14,21.43,19.14,31.94,11.19,16.02,16.62,11.56,6.76,9.37,13.46,13.81,7.36,5.68,16.9,9.91,13.04,68.02,31.59,53.17,58.27,116.44,4.88,27.15,11.35,43.49
PCCB,259.09,72.39,91.61,70.52,101.65,96.09,57.43,81.14,32.64,43.57,43.45,81.67,73.51,74.12,37.43,33.12,37.3,27.62,40.06,51.02,95.03,143.26,25.63,91.4,77.33,112.83,49.38,75.64,51.08,107.52
PCDH1,70.68,37.56,42.94,11.36,83.37,20.37,47.92,6.77,22.5,25.06,27.77,42.77,32.01,37.58,86.92,105.15,33,36.36,84.79,49.11,159.58,177.82,11.54,20.28,52.51,25.67,26.57,56.77,24.59,5.08
PCDH10,0.04,0.47,0.34,0.04,0.68,1.34,0.53,0.24,0.23,0.19,0.15,0,0.03,0.01,11.83,73.32,0.02,0.03,0.16,0,0.07,1.74,0.84,0,0.01,2.63,4.65,10.07,4.84,2.59
PCDH11X,4.39,25.41,4.26,0.98,1.33,3.35,26.68,1.07,0.79,1.52,1.79,0.1,0.18,0.11,7.97,15.98,1.38,9.67,0.03,0.05,0,0.07,10.52,0.83,0.08,3.23,2.24,6.76,3.79,10.98
PCDH11Y,0,0.34,0.01,0.04,0,0.05,2.15,0,0.04,0.16,0.1,0,0.02,0,1.43,3.49,0.22,1.77,0,0,0,0.03,0.04,0.11,0,0.01,0.05,0.09,0.02,0.23
PCDH12,7.52,6.43,3.31,2.16,5.22,1.93,3.35,1.34,0,0,0,0.12,0.07,0.1,8.59,0.19,5.5,0.02,18.17,0.08,0,0.73,0.01,0.63,0.04,0.33,1.33,3.1,1.13,1.15
PCDH15,0.19,0.3,1.35,0.69,0.04,3.54,1.05,1.84,0.01,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,1.44,0.46,0,7.17,15.78,33.62,20.55,12.26
PCDH17,3.77,5.79,4.81,3.37,5.57,5.39,2.46,2.16,0.03,0.03,0.02,0.02,0.01,0.01,6.64,2.74,4.05,0.02,12.59,0.01,0.14,3.24,0.01,9.86,0.17,1.2,2.91,3.53,3,2.08
PCDH18,13.76,28.57,6.19,14.5,17.89,8.09,9.04,7.72,46.82,79.27,87.21,0,0,0,25.76,21.14,4.59,0.24,22.2,0.32,0.04,0.12,10.66,0.62,32,0.72,8.52,11.7,2.06,5.17
PCDH19,1.34,1.25,2.49,2.95,3.41,6.99,1.74,2.19,0.03,0.13,0.09,0.35,0.38,0.27,0.75,0.2,0.23,0.1,1.22,0.32,0.16,0.61,3.18,0.44,0.11,3.83,7.76,13.16,9.46,12.81
PCDH20,0.11,0.22,6.08,1.07,1.64,0.48,0.55,0.73,0.08,0.15,0.22,0.05,0.14,0.08,1.19,3.69,0.02,0.08,0.39,0.75,0.4,1.29,0,0.19,0.12,3.5,6.07,2.32,4.54,2.19
PCDH7,6.03,8.02,81.84,17.98,50.93,4.3,15.4,6.01,0.77,0.75,1.38,0.44,0.48,0.67,4.23,0.02,3.61,0.1,16.91,0.11,4.29,32.42,0.1,0.03,0,29.66,1.27,4.41,2.58,4.85
PCDH8,0.25,0.44,0.02,1.15,0.09,1.74,2.49,1.3,0.07,0.08,0.08,0.35,0.13,0.29,3.1,7.2,0.27,0.38,0.28,0.22,0.32,0,1.64,22.22,0.99,1.34,0.93,3.39,2.96,5.07
PCDH9,3.25,3.63,1.93,2.37,2.55,49.36,4.14,2.27,0.51,1,1.14,0.4,0.53,0.75,1.33,0.48,0.34,0.16,1.74,0.05,3.35,0,0.39,93.59,0.81,4.71,10.48,22.08,22.41,5.75
PCDHA1,0.07,2.48,2.23,0.65,1.21,0.85,0.05,0.85,0.46,0,0.16,0,0,0,5.58,9.62,0.05,0,16.6,22.16,0,15.16,2.17,47.53,9.47,2.09,2.79,4.61,2.76,7.92
PCDHA10,1.55,1.39,65.09,0.1,115.44,0.8,25.82,22.43,0.41,0.38,0.31,0.38,0.38,0.5,1.33,2.1,0.04,0,1.33,1.26,0.06,91.99,1.6,86.89,2.8,65.27,6.53,24.25,20.98,26.35
PCDHA11,0.58,0.61,2.02,0,3.45,1.01,5.04,1.29,1.42,2.57,3.45,2.52,2.09,3.4,0.49,0.84,0.24,0.27,0.87,0.99,0.62,8.03,0.31,60.75,3.26,6.26,4.39,7.39,5.9,10.04
PCDHA12,0.68,1.46,3.91,0.06,1.51,1.22,5.3,1.92,0.57,0.36,0.65,1.77,1.52,1.8,0.54,1.3,0.28,0.22,1.25,1.83,0.46,15.14,0.27,62.49,2.09,16.74,8.78,11.54,13.32,21.61
PCDHA13,0.24,0.32,2.28,0.02,2.38,0.1,0.82,4.45,0.05,0.16,0.04,0.75,0.84,0.94,0.38,0.96,0.87,0.4,2.22,2.15,0.05,10.1,1.66,38.34,1.88,2.75,6.05,5.71,1.71,12.42
PCDHA2,0,4.77,0,0.99,2.01,0.37,1.57,0.77,0.12,0.3,0.65,0.09,0.2,0.12,1.16,1.83,0,0,3.24,3.97,0,6.62,2.64,77.42,2.64,1.99,5.87,4.58,3.71,10.24
PCDHA3,1.11,6.17,1.12,0.07,9.12,4.07,3.27,1.56,0.14,0.12,0.13,0.59,0.77,0.77,1.36,2.03,0.13,0,5.48,5.83,0,12.32,4.72,129.09,4.77,2.11,6.94,18.16,6.08,11.23
PCDHA4,0.36,1.54,0.03,0.02,2.41,3.91,1.67,0.69,0,0.04,0,3.36,3.28,3.16,1.25,1,0.12,0,1.27,1.66,0.05,6.79,0.11,46.06,2.62,1.59,10.57,13.5,2.45,6.2
PCDHA5,0.62,2.41,0.54,1.29,31.32,2.42,5.28,1.28,0.1,0,0.04,2.21,2.39,3.08,0.95,1.26,0.08,0,1.74,1.27,0,52.15,0.6,161.66,13.66,1.67,14.88,26.4,5.27,7.38
PCDHA6,1.75,1.25,1.03,0.28,8.76,1.03,2.74,1.16,0.38,0,0,21.19,21.32,24.34,1.03,1.35,4.09,4.44,1.03,1.28,0,12.39,0.55,58,4.01,2.58,14.62,10.57,7.13,11.12
PCDHA7,0.08,1.64,0.43,0.09,5.6,0.33,1.59,1.96,0,0.17,0.22,10.6,10.48,10.12,0.89,1.45,1.31,0.92,4.68,6.54,0.08,13.08,1.08,65.63,4.76,3.08,7.42,14.03,3.74,12.47
PCDHA8,0.08,0.56,0.6,0.14,3.29,1.44,1.79,0.72,0.05,0,0,0.36,0.38,0.6,0.53,1.56,0.3,0.17,1.88,2.92,0.25,7.25,0.11,34.46,1.76,3.17,5.6,7.3,4.01,10.73
