gene_id,185_026_T0,185_128_T0,185_037_T0,185_057_T0,185_071_T0,185_107_T0,185_184_T0,185_194_T0,PIM046_A1,PIM046_A2,PIM046_A3,PIM056_A1,PIM056_A2,PIM056_A3,185_002_T0,185_002_X0_P3,185_006_T0,185_006_X0_P3,185_014_T0,185_014_X0_P3,185_026_X0_P3,185_071_X0_P3,185_128_X0_P3,185_129_X0_P3,185_198_X0_P3,185_037_X0_P3,185_049_X0_P3,185_107_X0_P3,185_184_X0_P3,185_194_X0_P3
ABHD13,9.39,11.06,10.13,11.98,15.98,15.33,9.43,18.77,6.82,10.31,9.81,10.69,13.11,11.41,7.41,8.22,5.67,5.48,5.63,3.32,1.86,9.27,7,33.78,12.17,14.95,26.03,32.59,23.01,41.54
ABHD14A,25.28,19.95,7.43,6.21,4.37,2.65,4.59,5.98,14.39,14.72,14.88,9.67,8.46,8.48,11.2,16.14,15.59,19,31.48,32.14,21.41,5.49,12.11,23.53,14.18,5.85,1.07,3.05,3.64,6.64
ABHD14A-ACY1,0,0,0,0,0,0,0,0,0,0.44,0.27,0,0,0,0,0.7,0,0.25,0,0.45,0,0,0,0,0,0,0,0,0,0
ABHD14B,68.04,43.47,35.28,44.66,26.87,19.85,35.03,26.52,15.23,20.56,19.8,47.93,43.49,42.21,16.91,8.5,83.31,97.76,46.38,44.56,27.33,42,25.83,28.25,22.42,34.61,9.23,15.62,46.42,29.27
ABHD15,10.37,10.99,3.43,4.63,6.2,2.19,3.04,4.17,4.53,4.19,4.3,13.32,11.59,10.97,8.78,13.11,12.43,10.08,10.33,6.7,3.63,7.9,0.4,13.47,3.77,3.97,4.47,0.98,2.52,5.05
ABHD16A,54.01,69.97,39.58,15.63,34.1,31.06,23.16,48.01,37.63,41.21,43.31,64.21,47.01,58.18,50.66,55.28,44.9,26.59,72.04,87.36,55.72,35.64,29.79,68.86,26.35,30.84,13.26,23.14,13.16,33.62
ABHD16B,5.89,5.48,0.5,0.2,0.87,0.23,0.58,0.43,0.02,0.03,0.02,0.05,0.04,0,0,0.06,0.06,0,0.2,0,0,6.96,0.17,4.44,2.12,0.95,1.45,1.14,0.8,1.51
ABHD17A,179.62,122.89,14.63,20.13,13.73,8.83,18.52,33.8,77.77,69.83,74.25,77.89,71.62,76.83,80.38,116.85,92.85,64.67,112.03,96.77,87.94,51.01,13.59,58.63,11.19,16.66,13.19,14.21,36,19.78
ABHD17B,19.2,11.45,19.77,13.73,17.27,23.98,22.14,19.74,12.99,21.19,24.59,8.05,8.4,9.82,9.21,7.23,16.69,13.31,10.92,17.38,16.86,6.37,14.64,16.31,54.13,10.9,28.94,12.92,17.3,27.12
ABHD17C,26.92,22.34,7.73,36.62,6.97,7.92,15.68,20.97,18.97,28.49,26.33,23.25,22.1,23.12,25.95,31.04,38.84,47.12,17.11,25.53,18.9,10.08,4.06,18.85,54.52,20.41,17.72,9.64,12.73,38.82
ABHD18,15.51,8.69,7.93,7.71,21.95,12.61,11.89,7.66,3.77,6.82,6.25,3.06,4.4,3.59,7.92,6.14,4.38,3.64,6.65,6.99,4.58,18.42,7.71,18.45,22.18,6.13,11.79,12.33,7.68,10
ABHD2,34.85,28.31,23.23,31.6,38.31,36.99,34.78,19.88,25.96,41.63,49.13,20.24,22.72,22.54,103.31,70.5,47.43,78.6,127.84,124.6,72.42,29.65,14.62,50.36,30.82,17.89,7.92,44.26,30.74,24.42
ABHD3,134.06,58.14,51.29,25.22,53.02,59.15,26.83,37.89,6.23,7.3,7.01,26.85,32.17,26.53,16.18,9.79,39.61,25.79,12.92,10.16,34.02,36.75,37.66,60.52,116.14,13.43,18.66,14.05,16.88,29.92
ABHD4,25.51,25.4,15.54,16.54,23.11,9.05,8.52,8.57,15.83,28.45,27.21,35.83,36.57,35.77,7.98,7.68,11.5,6.38,40.65,29.17,17.96,14.96,6.12,11.42,13.62,11.72,2.94,5.13,5.58,15.08
ABHD5,34.37,32.16,24.18,9.29,29.54,29.54,43.18,25.84,13.14,17.66,18.66,15.47,15.25,16,9.92,9.38,13.35,34.11,12.73,13.79,13.99,49.77,10.7,12.44,32.95,10.84,19.16,18.93,23.4,20.34
ABHD6,14.24,13.84,4.62,12.64,13.4,6.36,7.32,9.37,4.03,3.83,4.3,2.45,2.44,2.13,5.93,7.55,8.73,10.51,6.57,3.6,5.85,11.79,2.64,11.02,4.7,3.93,1.21,1.39,3.62,3.83
ABHD8,6.39,2.71,0.74,0.17,1.77,0.65,0.12,1.24,23.95,24.07,24.19,28.4,28.75,23.77,31.91,55.4,8.24,5.24,25.79,19.55,17.46,1.19,0.91,2.38,0.54,1.44,0.56,1.76,0.79,2.36
ABI1,67.25,99.66,130.8,111.97,66.56,104.89,64.38,79.59,27.75,45.64,47.7,70.07,92.01,80.2,64.19,51.32,47.49,45.89,42.63,52.48,69.35,43.03,55.43,28.89,76.28,65.79,64.4,75.92,56.8,71.72
ABI2,31.78,60.74,43.51,72.5,70.47,73.58,86.1,78.74,10.47,19.5,17.72,24.58,25.39,26.1,42.89,48.94,26.45,31.93,28.33,25.36,15.22,31.34,73.86,141.09,83.78,20.02,104.89,57.48,33.73,59.39
ABI3,19.45,7.45,4.19,6.57,3.41,1.9,2.18,2.96,0,0,0,0.04,0,0,6.13,0.05,11.15,0,20.21,0.11,0,0,0,0,0,0.13,0.35,1.61,0.3,0.16
ABI3BP,67.47,26.76,23.86,48.84,70.49,21.96,84.84,9.68,0,0.01,0.01,0,0.01,0.01,6.51,0.17,2.53,0,11.91,0.89,0,3.25,1.29,1.43,1.65,1.33,4.46,5.21,4.81,22.16
ABL1,39.18,36.4,22.51,14.11,40.11,16.92,28.81,15.74,8.56,14.03,15.19,18.08,19.04,19.22,63.42,56.41,65.71,51.1,70.65,56.73,17.1,40.62,7.84,32.64,41.97,23.26,7.79,18.22,25.13,17.69
ABL2,25.52,47.33,19.55,14.4,22.54,16.38,60,27.13,2.34,4.74,4.28,20.84,30.32,22.59,84.5,72.32,28.21,16.81,26.68,13.92,10.25,14.7,16.73,61.55,12.87,12.57,11.68,15.6,40.14,53.25
ABLIM1,22.5,16.06,70.44,13.8,28.89,32.56,50.95,17.12,14.63,29.01,27.41,59.2,54.12,60.7,13.15,10.12,62.71,93.48,24.05,30.7,23.15,61.65,8.81,32.96,69.14,102.6,2.77,47.81,41.07,37.99
ABLIM2,2.05,3.26,1.44,1.02,5.17,0.78,4.04,7.4,0.03,0.13,0.09,5.11,5.8,4.8,0.74,0.39,9.32,12.83,2.52,1.82,0.08,14.58,4.52,24.24,0,0.7,0.68,0.96,0.79,2.8
ABLIM3,6.19,6.46,3.5,6.11,14.92,6.68,15.47,3.14,0.24,0.22,0.22,47.26,55.48,52.28,4.4,5.26,1.89,0,22.3,6.11,0.37,40.32,0.03,1.54,0.55,0.47,3.09,6.05,2.04,2.87
ABO,1.86,0.59,0.17,0.17,12.16,0.04,0.9,0.98,0.07,0.26,0,0,0,0.04,0.47,0,0.62,0,0.51,0,0.48,38.03,0,0,0.2,0.25,0.12,1.85,1.5,3.56
ABR,57.46,54.16,53.99,35.63,61.69,25.56,75.55,40.12,4.78,5.94,7.27,41.22,45.43,43.19,39.11,36.86,53.77,24.56,50.61,23.76,24.24,79.98,11.62,39.88,29.45,17.95,6.91,16.71,34.01,28.36
ABRA,1.56,0.44,2.53,3.24,0.97,3.81,0.56,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,0,0.11,1.94,2.71,4.42,3.73,2.48,3.64
