gene_id,PIM046_A3,PIM056_A3,PIM242,PIM014,PIM077,PIM137,PIM254,PIM040,PIM053,PIM091,PIM262,PIM068,PIM163,PIM010,PIM025,PIM164
ABHD17A,74.25,76.83,36,64.67,,14.21,19.78,87.94,16.66,51.01,11.19,13.19,13.59,116.85,96.77,58.63
ABHD17B,24.59,9.82,17.3,13.31,,12.92,27.12,16.86,10.9,6.37,54.13,28.94,14.64,7.23,17.38,16.31
ABHD17C,26.33,23.12,12.73,47.12,,9.64,38.82,18.9,20.41,10.08,54.52,17.72,4.06,31.04,25.53,18.85
ABHD18,6.25,3.59,7.68,3.64,,12.33,10,4.58,6.13,18.42,22.18,11.79,7.71,6.14,6.99,18.45
ABHD2,49.13,22.54,30.74,78.6,,44.26,24.42,72.42,17.89,29.65,30.82,7.92,14.62,70.5,124.6,50.36
ABHD3,7.01,26.53,16.88,25.79,,14.05,29.92,34.02,13.43,36.75,116.14,18.66,37.66,9.79,10.16,60.52
ABHD4,27.21,35.77,5.58,6.38,,5.13,15.08,17.96,11.72,14.96,13.62,2.94,6.12,7.68,29.17,11.42
ABHD5,18.66,16,23.4,34.11,,18.93,20.34,13.99,10.84,49.77,32.95,19.16,10.7,9.38,13.79,12.44
ABHD6,4.3,2.13,3.62,10.51,,1.39,3.83,5.85,3.93,11.79,4.7,1.21,2.64,7.55,3.6,11.02
ABHD8,24.19,23.77,0.79,5.24,,1.76,2.36,17.46,1.44,1.19,0.54,0.56,0.91,55.4,19.55,2.38
ABI1,47.7,80.2,56.8,45.89,,75.92,71.72,69.35,65.79,43.03,76.28,64.4,55.43,51.32,52.48,28.89
ABI2,17.72,26.1,33.73,31.93,,57.48,59.39,15.22,20.02,31.34,83.78,104.89,73.86,48.94,25.36,141.09
ABI3,0,0,0.3,0,,1.61,0.16,0,0.13,0,0,0.35,0,0.05,0.11,0
ABI3BP,0.01,0.01,4.81,0,,5.21,22.16,0,1.33,3.25,1.65,4.46,1.29,0.17,0.89,1.43
ABL1,15.19,19.22,25.13,51.1,,18.22,17.69,17.1,23.26,40.62,41.97,7.79,7.84,56.41,56.73,32.64
ABL2,4.28,22.59,40.14,16.81,,15.6,53.25,10.25,12.57,14.7,12.87,11.68,16.73,72.32,13.92,61.55
ABLIM1,27.41,60.7,41.07,93.48,,47.81,37.99,23.15,102.6,61.65,69.14,2.77,8.81,10.12,30.7,32.96
ABLIM2,0.09,4.8,0.79,12.83,,0.96,2.8,0.08,0.7,14.58,0,0.68,4.52,0.39,1.82,24.24
ABLIM3,0.22,52.28,2.04,0,,6.05,2.87,0.37,0.47,40.32,0.55,3.09,0.03,5.26,6.11,1.54
ABO,0,0.04,1.5,0,,1.85,3.56,0.48,0.25,38.03,0.2,0.12,0,0,0,0
ABR,7.27,43.19,34.01,24.56,,16.71,28.36,24.24,17.95,79.98,29.45,6.91,11.62,36.86,23.76,39.88
ABRA,0,0,2.48,0,,3.73,3.64,0,2.71,1.26,1.94,4.42,0,0,0,0.11
ABRACL,991.51,406.55,66.63,249.84,,118.47,90.91,281.26,165.07,36.42,65.3,83.64,153.48,148.77,27.68,10.31
ABRAXAS1,24.12,6.7,18.48,6.82,,25.96,17.53,2.87,4.37,32.82,18.42,9.77,10.86,5.21,3.38,8.67
ABRAXAS2,18.24,21.57,30.41,13.44,,56.17,30.37,15.82,37.43,29.92,45.31,30.58,34.67,15.58,10.93,48.42
ABT1,38.54,52.1,4.18,39.67,,7.35,7.37,15.56,7.96,10,4.83,2.42,3.02,41.32,19.72,10.71
ABTB1,5.83,8.11,9.51,23.03,,3.46,7.74,8.74,1.58,14.13,6.49,2.34,3.49,8.64,6.77,18.66
ABTB2,14.82,10.24,8.49,16.87,,18.02,5.59,28.57,6.67,13.83,48.4,1.31,7.63,31.37,36.2,3.17
ACAA1,37.12,53.69,17.98,54.21,,9.83,19.73,99.53,28.48,54.36,11.69,5.42,15.81,43.38,128.04,9.17
ACAA2,146.52,62.87,270.82,70.19,,468.47,255.12,35.55,879.43,184.3,1801.44,626.28,184.62,171.48,68.44,254.77
ACACA,25.81,38.21,87.44,44.34,,60.01,115.89,29.47,90.16,162.65,185.9,70.09,26.64,30.37,35.13,88.26
ACACB,1.16,0.06,2.2,3.07,,3.39,3.44,2.63,0.64,10.54,1.97,2.01,1.42,14.53,5.5,24.05
