gene_id,PIM046_A3,PIM056_A3,PIM242,PIM014,PIM077,PIM137,PIM254,PIM040,PIM053,PIM091,PIM262,PIM068,PIM163,PIM010,PIM025,PIM164
MAGEF1,143.67,89.31,102.88,48.86,,34.79,58.35,101.28,28.34,44.61,100.03,96.69,44.5,122.4,125.77,96.83
MAGEH1,17.07,30.13,7.34,6.18,,26.03,35.05,2.22,16.93,142.16,5.7,22.98,61.69,40.11,22.98,104.4
MAGEL2,0,0,0.51,0.03,,2.27,2.24,0,0.7,0,0,1.22,0,7.92,0,0
MAGI1,5.84,8.91,54.48,50.56,,35.15,52.28,12.78,34.63,42.75,156.87,8.45,22.27,6.79,16.72,32.98
MAGI2,1.09,1.68,3.13,1.68,,4.07,7.01,0.3,0.43,2.54,0.17,6.61,1.48,1.33,3.01,15.48
MAGI3,23.23,7.52,12.46,21.01,,24.24,9.63,17.42,41.34,48.79,74.63,17.22,13.96,14.34,17.9,38.21
MAGIX,1.46,1.3,2.03,2.53,,1.51,1.84,4.33,1.5,2.3,0.86,0.76,0.21,3.88,5.37,1.07
MAGOH,266.95,133.45,21.35,135.83,,168.66,106.24,65.06,25.4,30.7,63.43,35.96,174.67,46.73,54.18,51.33
MAGOHB,12.39,22.27,11.54,21.98,,12.26,27.45,9.52,5.56,11.86,18.39,26.2,15.78,17.35,10.74,16.59
MAGT1,45.71,100.98,58.27,24.66,,55.81,39.52,43.65,96.81,72.06,34.52,62.67,39.28,162.82,112.69,29.97
MAIP1,34.55,51.24,29.54,17.47,,51.64,39.89,65.56,36.84,31.55,37.82,41.91,34.86,28.63,10.08,45.63
MAJIN,0.44,3.26,0.13,0,,0.28,0.08,1.11,0.12,0,0,0.53,0,0,0.42,0.15
MAK,0.01,0.02,6.08,0.49,,8.73,12.37,0.03,4.04,7.91,12.15,8.93,1.68,0,0.06,47.38
MAK16,11.57,12.46,16.97,10.22,,15.75,27.15,23.45,5.18,30.1,43.07,25.86,5.41,12.99,26.94,71.46
MAL,0,33.1,0.24,0,,0.39,6.43,0.17,6.75,3.45,0,5.95,0.66,19.95,0.13,0.18
MAL2,472.26,462.19,84.56,292.86,,141.23,259.07,87.84,384.86,417.9,308.71,46.25,56.82,8.42,34.44,57.62
MALL,118.3,119.57,114.66,60.74,,200.94,57.16,30.83,385.66,291.92,285.71,19.19,100.9,138.18,116.97,10.33
MALRD1,0.01,0,2.4,0,,5.21,1.48,0.03,1.31,1.35,0,2.35,0.29,0.01,0.03,0.06
MALSU1,62.69,171.35,187.97,58.65,,148.55,133.27,95.28,245.66,198.05,166.66,114.24,711.48,68.37,55.98,343.69
MALT1,15.88,24.01,3.15,17.61,,11.62,6.51,3.04,6.7,11.04,12.81,6.77,16.08,22.57,20.16,7.83
MAMDC2,3.62,0.03,5.79,0.02,,8.85,37.67,1.24,1.8,3,3.79,4.25,1.02,0,1.81,0.91
MAMDC4,1.9,2.3,2,1.98,,1.12,1.14,2.46,2.84,14.44,3.96,1.9,3.67,2.2,6.73,4.63
MAML1,23.42,50.98,18.17,26.57,,19.92,53.24,24.26,17.3,23.85,33.06,26.23,54.22,39.8,45.36,51.32
MAML2,7.1,33.87,51.81,26.93,,29.06,61.23,50.83,5.19,3.12,134.82,115.2,13.5,29.56,81.95,4.39
MAML3,4.13,0.78,12.26,8.1,,36.62,1.56,9.61,33.41,11.48,64.54,5.33,1.9,12.02,9.64,115.68
MAMLD1,1.68,4.96,11.93,5.59,,13.84,7.75,9.46,2.1,5.76,37.86,14.62,0.91,28.25,33.16,10.41
MAMSTR,1.16,0.52,0.08,7.1,,5.17,1.87,0.37,0.88,1.49,0.37,0.6,0.31,25.02,3,6.59
MAN1A1,29.1,18.16,24.94,21.52,,81.91,2.12,3.86,1.2,4.51,5.71,14.49,6.23,0.68,6.46,23.5
MAN1A2,12.01,18.88,286.9,24.61,,26,42.02,38.97,23.55,41.24,54.68,59.72,27.28,54.07,73.61,85.62
MAN1B1,118.83,52.79,35.28,48.95,,17.75,24.01,127.98,15.55,108.2,49.27,9.82,25.84,75.13,94.92,23.59
MAN1C1,1.97,0.46,0.39,0.35,,0.41,0.54,0.25,0.34,9.31,0.04,0.26,0,1.43,6.17,14.52
MAN2A1,10.43,20.83,10.78,7.36,,58.32,37.15,12.23,15.33,90.62,36.33,16.27,14.17,7.57,36.24,29.86
MAN2A2,18.11,13.65,11.51,36.16,,9.48,18.04,46.53,4.98,32.6,18.82,2.27,4.17,26.9,54.8,40.61
MAN2B1,129.16,53.89,67.42,168.55,,60.28,90.39,109.49,83.45,68.36,77.99,18.71,39.5,238.97,70.24,68.48
MAN2B2,18.21,14.78,4.98,15.91,,2.86,7.06,9.13,8.93,21.59,1.72,0.82,0.74,15.16,35.73,5.77
MAN2C1,9.99,11.07,8.67,43.16,,9.35,7.52,21.88,4.55,11.69,6.28,7.46,4.94,31.07,40.64,16.24
MANBA,44.85,6.24,14.89,6.71,,53.71,58.67,12.72,22.04,230.83,160.82,17.53,10.17,15.46,35.73,15.02
MANBAL,142.75,89.49,15.68,43.13,,12.14,9.79,103.04,13.5,31.47,17.53,13.29,13.8,48.59,91.61,25.08
MANEA,6.59,9.48,15.26,10.17,,19.48,19.16,6.73,9.06,10.61,30.03,24.28,11.73,8.71,7.66,23.64
MANEAL,0.78,4.6,8.81,28.03,,6.31,8.15,12.89,2.4,10.44,16.17,2.15,1.26,16.16,12.84,71.43
MANF,157.74,288.54,63.22,86.08,,44.89,66.7,60.6,61.84,101.35,115.66,59.33,75.32,129.32,213.69,43.58
MANSC1,43.87,34.39,89.52,73.87,,40.19,135.98,79.66,38.52,158.87,294.95,54.14,19.3,51.94,63.65,50.43
MANSC4,0,0,5.35,0,,13.49,3.58,0,0.87,0.31,2.96,9.83,0.78,0.1,0,1.39
MAOA,5.1,0.13,0.18,0.27,,0.86,0.12,2.65,0.48,0.63,2.93,0.18,0.09,0.43,2.69,7.18
MAOB,3.83,0,22.21,0.03,,33.11,3.47,2.1,0.53,2.13,1.99,0.85,3.1,8.73,128.83,1.06
MAP10,2.74,1.81,20.59,1.72,,14.46,14.56,1.16,5.04,2.37,8.36,11.29,15.15,6.19,4.15,18.38
MAP1A,0.01,0.02,1.59,0.25,,4.08,2.36,0.05,1.25,0.89,0.14,1.55,0.11,2.1,0.55,67.87
MAP1B,13.76,11.8,33.33,2.46,,100.93,54.66,0.51,5.48,27.19,139.9,18.59,24.98,88.44,66.49,311.56
MAP1LC3A,51.3,28.05,4.67,21.23,,3.41,1.46,13.42,7.92,5.14,12.51,3.96,12.95,41.12,84.64,24.47
MAP1LC3B,139.09,211.26,64.93,25.97,,56.22,86.93,74.37,125.39,191.18,182.28,37.32,51.3,88.09,93.17,43.07
MAP1LC3B2,1.56,2.58,19.25,0.85,,17.31,11.13,1.36,8.91,15.25,10.29,7.54,6.77,1.32,1.35,0.94
MAP1LC3C,0.14,0.11,1.38,0,,1.53,1.23,0,0.34,0,0,0.9,0,0.36,0,0
MAP1S,33.02,19.91,13.35,73.06,,16.57,20.54,49.88,11.11,30.9,34.5,7.21,3.04,69.66,37.17,28.02
MAP2,31.13,68.26,33.29,21.81,,28.16,123.02,7.25,32.6,41.8,56.67,31.25,7.08,50.56,6.72,496.95
MAP2K1,26.59,27.23,19.08,57.58,,19.86,31.03,71.62,26.38,69.34,50.92,9.62,25.39,89.64,69.12,99.41
MAP2K2,89.27,219.32,71.56,134.29,,32.99,82.68,156.17,59.28,103.67,14.81,36.34,30.93,141.31,130.21,149.1
MAP2K3,30.29,71.16,39.18,36.79,,16.82,14.82,43.81,24.73,36.01,10.2,9.44,14.77,98.88,76.13,12.77
MAP2K4,15.25,28.24,33.87,13.44,,29.92,18.79,11.67,26.81,61.12,54.08,18.33,25.26,35.44,21.98,23.92
MAP2K5,9.75,8.42,8.49,21.1,,12.51,12.52,18.42,9.74,30.8,11.62,12.39,7.29,18.93,23.44,57.39
MAP2K6,12.22,0.94,18.11,13.37,,9.53,21.68,11.88,15.04,3.71,11.69,3.19,5.32,2.98,23.41,99.48
MAP2K7,14.49,27.35,8.34,34.73,,4.89,9.8,38.71,7.48,13.33,6.38,3.98,4.34,34.32,23.59,13.79
MAP3K1,11.27,20.33,32.18,10.53,,52.93,32.89,9.24,43.33,100.73,190.15,41.67,11.03,40.9,15.17,32.03
MAP3K10,3.4,4.49,3.17,5.46,,5.19,2.78,5.93,2.1,1.99,1.1,1.32,0.37,16.33,16.28,5.34
MAP3K11,32.26,45.13,9.43,49.03,,17.93,9.45,121.65,18.36,15.82,13.93,5.03,2.49,49.4,59.95,17.77
MAP3K12,1.79,0.72,2.88,0.62,,4.02,1.72,0.7,1.01,4.59,0.88,1.86,1.61,5.06,4.49,36.51
MAP3K13,1.36,1.39,4.06,5.59,,3.65,21.33,5.96,4.02,12.4,18.58,3.3,5.43,3.44,7.44,10.75
MAP3K14,4.99,6.57,3.77,4.01,,2.18,7.12,7.96,4.15,10.38,13.51,2.78,0.77,8.75,6.8,6.33
MAP3K15,0.01,0.01,0.74,0.14,,0.82,0.28,0.1,0.43,0.02,0,1.38,0.08,0.34,0.14,15.53
MAP3K19,0,0,6.63,0,,9.9,3.31,0,2.66,0.38,0.61,7.49,0.28,0,0.03,4.17
MAP3K2,12.41,13.75,23.05,9.03,,25.37,28.91,12.67,20.27,33.02,57.74,29.7,17.61,18.35,17.21,43.54
MAP3K20,6.56,17.58,23.82,34.06,,27.41,20.43,1.68,7.01,53.32,23.68,22.4,19.16,29.53,23.04,17.99
MAP3K21,6.97,6.19,42.6,24.19,,15.5,48.56,10.89,15.51,3.46,7.87,16.27,13.75,14.85,9.04,29.15
MAP3K3,13.03,23.12,8.84,31.33,,6.5,34.37,16.36,10.15,8.44,15.3,9.23,7.78,45.2,13.7,25.66
MAP3K4,3.2,11.81,29.74,27.51,,59.95,42.81,19.92,27.21,33.5,61.92,58.96,65.24,16.79,8.58,68.89
MAP3K5,10.35,15.54,2.91,3.03,,35.56,30.82,1.22,6.82,36.75,154.01,6.1,15.44,6.07,5.26,15.49
MAP3K6,4.75,19.54,0.95,44.46,,4.14,3.74,14.27,4.82,7,5.06,1.41,5.73,29.12,25.9,4.34
MAP3K7,28.08,23.34,29.86,34.12,,36.83,63.93,21.85,20.5,24.15,69.49,33.45,17.73,44.6,28.15,25.29
MAP3K7CL,1.63,1.69,3.41,1.52,,5.07,4.83,0.59,0.37,2.22,1.23,1.87,0.48,1.57,2.59,10.78
MAP3K8,7.41,18.42,12.41,7.33,,20.81,38.84,3.01,9.54,144.61,21.77,3.88,31.74,0.52,5.47,1.21
MAP3K9,1.6,6.39,3.62,9.29,,6.15,6.69,7.42,4.67,12.12,11.35,2.14,3.73,9.62,12.59,11.79
MAP4,47.22,61.17,104.75,178.79,,79.67,134.67,69.08,66.07,99.7,100.05,60.03,50.4,111.81,91.65,34.14
MAP4K1,0.24,0.54,0.41,9.85,,1.23,0.49,1.22,0.03,0.23,0.63,0.78,0.43,1.34,0.49,7.94
MAP4K2,19.28,24.7,8.26,18.73,,18.97,5.61,25.57,13.5,18.29,12.23,2.45,2.65,14.63,23.28,20.36
MAP4K3,18.03,30.38,38.78,16.59,,53.78,64.09,12.46,70.5,97.34,94.49,67.31,43.65,25.78,27.37,152.55
MAP4K4,47.91,90.47,74.19,31.91,,121.58,83.69,31.39,122.5,94.01,146.6,131.7,99.6,67.9,42.41,344.38
MAP4K5,40.49,45.84,44.26,20.22,,115.13,78.34,14.51,58.47,51.79,268.54,96.64,59.61,31.32,49.74,81.94
MAP6,0.86,0.21,4.98,0.09,,22.51,2.8,0.04,1.25,1.43,0.14,4.2,0.24,5.43,5.05,26.12
MAP6D1,7.66,3.91,1.42,1.01,,2.25,1.19,5.52,0.5,1.8,0.48,1.1,0.33,2.75,11.42,2.68
MAP7,17.23,33.48,21.37,45.19,,38.47,37.94,102.9,31.58,56.58,149.96,19.22,67.13,57,22.1,31.78
MAP7D1,37.23,79.52,16.67,114.07,,37.26,20.59,23.41,17.54,25.58,6.85,13.42,24.26,68.86,69.03,32.83
MAP7D2,0.89,0.09,1.01,0.17,,2.82,3.7,0.15,0.59,0.31,0.46,0.94,6.19,0.27,19.9,134.36
MAP7D3,8.74,13.3,9.77,7.25,,16.02,51.12,0.25,3.85,2.7,20.33,8.15,73.79,11.05,14.27,30.07
MAP9,2.07,3.56,10.89,0.48,,15.2,7.25,0.12,3.56,12.41,3.61,18.45,3.46,3.93,6.48,25.9
MAPK1,51.98,49.71,40.92,70.38,,47.46,62.25,131.34,150.75,52.48,97.86,74.49,87.68,123.95,129.85,101.58
MAPK10,14.25,0.04,9.44,0.25,,38.96,0.32,6.39,2.28,24.13,0.09,1.39,0.28,0.35,2.3,14.91
MAPK11,4.27,10.96,0.26,0.51,,0,0.31,8.42,0.14,2.49,0.08,0.15,1.54,5.64,13.89,0.32
MAPK12,18.78,6.01,7.07,0.15,,0,7.34,12.29,0.19,9.19,0.06,0.73,2,20.63,13.75,8.29
MAPK13,18.74,39.61,5.82,75.37,,8.02,11.58,44.28,9.01,9.18,8.43,2.31,2.56,22.66,61.05,3.77
MAPK14,19.08,44.38,27.14,26.78,,50.2,75.33,25.13,36.56,59.08,88.26,33.32,42.04,36.73,59.83,88.52
MAPK15,15.08,0.1,18.03,0.97,,12.74,2.09,2.33,2.66,7.06,4.13,0.92,0.21,1.21,2,0.58
MAPK1IP1L,28.53,24,16.14,30.73,,35.67,33,35.31,21.72,20.92,76.14,11.11,18.86,32.89,39.95,30.05
MAPK3,59.69,85.74,43.47,96.5,,68.68,54.77,76.73,84.02,186,63.59,32.41,41.3,125.67,72.14,59.63
MAPK4,0.45,0.14,2,7.86,,2.77,1.16,8.59,0.57,2,1.77,5.83,1.58,32.74,26.53,6.82
MAPK6,28.35,38.16,52.17,44.62,,96.23,84,46.93,122.96,98.89,155.45,44.9,100.86,44.61,17.46,128.27
MAPK7,10.4,14.66,25.32,21.2,,36.97,21.45,12.09,32.3,30.1,28.57,27.13,29.37,25.49,17.9,62.24
MAPK8,18.17,21.48,7.09,18.45,,12.15,14.05,9.08,5.36,3.2,16.29,9.69,9.16,14.35,11.48,22.47
MAPK8IP1,13.6,8.46,0.46,7.32,,3.61,1.9,30.77,2.04,7.47,2.77,0.63,0.76,20.72,13.13,35.7
MAPK8IP2,2.68,3.48,0.18,10.45,,0.16,0.82,78.81,4.93,7.21,0.44,0.36,0.54,5.85,14.52,15.5
MAPK8IP3,7.71,11.04,7.62,8.82,,12.33,7.81,16.14,7.35,15.08,6.24,6.8,14,66.53,24.26,24.82
MAPK9,33.53,32.17,37.88,12.49,,34.06,117.96,18.27,26.14,26.65,66.23,38.27,69.71,25.23,42.29,120.16
MAPKAP1,93.61,79.44,107.1,86.73,,63.13,94.54,115.26,102.33,161.88,232.47,51.74,69.99,69.74,78.31,51.36
MAPKAPK2,40.03,96.41,87.76,253.01,,43.81,42.84,105.07,78.03,53.73,44.39,29.39,47.79,99.95,93.52,75.23
MAPKAPK3,28.99,39.7,8.38,55.62,,9.87,14.34,28.06,13.35,24.48,11.69,5.09,9.49,62.38,36.51,3.66
MAPKAPK5,35.34,18.16,50.19,25.98,,44.79,64.36,14.06,49.05,58.93,88.12,54.89,129.89,79.06,25.4,109.4
MAPKBP1,2.98,2.58,1.12,15.4,,3.14,1.84,6.19,1.96,1.59,3.22,0.78,1.14,15.78,6.89,7.07
MAPRE1,140.79,152.55,103.2,117.26,,88.74,101.66,94.79,106.31,154.47,194.52,118.09,157.49,102.35,103.25,182.14
MAPRE2,4.32,13.45,6.39,111.77,,6.05,11.68,12.9,2.93,24.49,8.09,11.19,14.75,66.18,31.36,110.6
MAPRE3,3.72,12.36,4.91,7.01,,3.79,3.76,1.49,3.8,6.37,0.53,4.28,2.46,37.37,18.09,28.07
MAPT,8.07,3.18,3.71,2.21,,4.05,1.86,2.02,10.89,18.12,0.48,1.33,0.26,1.99,8.93,3.25
MARC1,24.88,5.66,5.97,23.59,,5.03,6.58,120.42,15.09,0.74,39.49,2.6,6.81,40.25,15.92,18.6
MARC2,4.46,3.86,3.01,8.53,,9.01,9.2,15.7,22.6,8.82,53.83,3.96,4.06,12.98,14.77,24.84
MARCH1,0.02,0.03,3.98,0.09,,8.75,1.46,0.12,1.7,2.69,3.48,5.54,2.18,0.09,0,7.51
MARCH10,0.01,0,1.18,0.02,,1.35,2.77,0,0.58,0,0.17,2.32,0,0,0.03,6.17
MARCH11,0.05,0,4.23,0.05,,9.97,1.33,0.08,2.01,17.65,0.35,3.73,3.68,0.13,0,107.34
MARCH2,48.07,30.36,14.84,20.78,,10.97,18.72,36.28,19.46,34.88,9.36,3.84,29.44,17.28,32.61,9.52
MARCH3,1.14,3.96,3.58,2.31,,9.07,3.41,2.7,4.96,2.73,17.63,13.91,2.43,32.53,27.02,18.54
MARCH4,0,0.01,0.87,0,,2.56,0.92,0,0.74,0.02,0.04,1.43,0.06,0.19,0,77.09
MARCH5,13.54,58.11,40.96,17.29,,48.61,32.38,18.42,45.88,21.98,39.77,43.18,22.99,28.5,28.34,17.17
MARCH6,30.23,26.55,84.36,11.04,,193.24,107.54,47.46,121.24,211.1,143.87,111.46,26.09,46.9,58.56,331.33
MARCH7,61.35,82.05,65.44,42.05,,111.28,95.16,53.55,119.6,53.46,135.16,124.53,74.23,58.48,29.64,115.61
MARCH8,8.84,12.21,5.95,17.71,,8.96,11.66,6.37,4.84,4.3,6.48,3.25,5.45,16.72,23.46,28.54
MARCH9,9.75,6.61,4.22,5.24,,4.08,2.43,3.09,3.83,6.59,5.11,3.18,1.08,18.93,11.04,17.82
MARCKS,69.44,42.48,38.1,92.86,,133.58,63.86,42.57,93.74,37.7,53.7,120.14,143.14,106.92,26.56,62.44
MARCKSL1,450.12,402.76,256.11,187.33,,165.73,113.16,593.19,202.51,95.44,53.27,190.48,367.63,452.74,704.19,186.81
MARCO,0.18,7.54,1.26,23.09,,1.1,21.77,0,0.09,0.69,0,0.4,20.68,1.25,2.75,0
MARF1,16.8,15.45,57.68,15.48,,77.8,73.62,21.6,32.49,108.67,188.32,83.96,45.23,38.83,28.38,104.56
MARK1,3,5.99,5.05,7.02,,7.05,21.47,0.7,19.17,3.1,56.84,3.03,2.05,28.02,5.9,97.2
MARK2,48.04,57.72,25.77,73.36,,31.55,24.14,89.27,23.54,74.31,56.48,21.4,4.84,63.21,100.49,24.73
MARK3,31.61,43.34,57.78,48.72,,112.81,111.29,29.82,136.19,123.8,309.44,65.67,185.39,43.12,64.46,98.41
MARK4,8.95,13.84,8.44,15.58,,12.38,7.61,17.24,10.88,17.74,6.42,5.65,16.08,52.55,39.43,12.52
MARS,77.41,92.35,72.3,36.87,,69.05,114.29,47.68,121.35,105,82.17,81.1,58.79,99.04,62.79,166.36
MARS2,9.26,16.81,32.33,19.88,,24.05,25.57,27.72,15.54,9.31,18.06,33.18,16.33,26.54,9.02,30.53
MARVELD1,13.41,102.77,1.44,45.78,,1.11,1.6,16.8,0.06,1.9,0.89,0.38,2.52,21.35,37.61,0.65
MARVELD2,7.88,17.49,47.52,28.31,,50.08,44.26,10.24,62.96,187.16,102.9,22.23,56.68,11.48,26.99,65.92
MARVELD3,20.63,57.13,16.11,26.14,,14.21,21.49,23.08,11.25,47.66,11.05,16.16,9.81,48.65,14.95,7.79
MAS1,0,0,3.79,0,,4.05,3.02,0,1.26,0,0,6.92,0,0,0,0
MAS1L,0,0,4.75,0,,6.68,4.76,0,2.28,0,0,5.58,0,0,0,0
MASP1,0.04,0,3.99,0,,6.3,2.16,0,0.54,0.04,0,4.45,0.02,0.49,0.05,0.3
MASP2,0,0,7.09,0,,5.93,14.69,0,4.19,16.44,8.36,4.1,4.42,0.42,0.2,61.9
MAST1,0.89,0.41,0.34,0.82,,3.73,0.95,16.3,7.01,1.41,4.38,0.52,0.78,0.36,1.18,20.52
MAST2,28.17,28.11,24.33,62.65,,33.81,20.87,41.27,16.92,59.12,55.24,22.55,13.37,54.3,54.32,102.68
MAST3,2.9,3.46,4.38,1.02,,5.15,8.24,11.28,4.96,16.49,3.92,1.53,0.98,15.25,8.29,32.15
MAST4,2.48,1.21,6.38,22.28,,47.25,9.28,4.02,7.13,110.04,40.87,2.87,0.87,3.26,0.9,15.22
MASTL,17.71,18.4,33.07,23.31,,68.46,46.83,12.91,45.7,29.67,102.2,46.01,44.24,16.94,14.17,29.15
MAT1A,0.05,0,0.4,0.1,,1.94,0.48,2.08,0.69,0,0.03,1.33,0.06,27.39,13.93,0.88
MAT2A,106.21,169.11,258.39,147.46,,304.5,294.35,173.37,317.16,281.43,449.76,310.72,220.25,121.64,150.25,217.13
MAT2B,82.67,158.66,32,23.16,,37.56,69.54,33.76,31.57,96.71,80.4,65.57,54.12,17.34,55.86,42.47
MATK,0.11,22.41,0,0,,0.26,0.61,0.6,0.21,10.9,0,1.05,0.93,0.32,0.74,3.68
MATN1,0.03,0.27,3.15,0.02,,3.14,1.51,0.09,1.26,0.5,0.36,2.85,1.79,0.27,0.28,1.56
MATN2,14.22,3.58,1.45,2.96,,17.74,41.27,1.71,94.43,39.05,7.8,25.87,14.72,84.69,29.82,158.42
MATN3,1.85,0.11,2.22,0.24,,8.32,3.81,0.05,1.25,0.87,0.24,12.23,7.46,4.5,21.16,0.47
MATN4,0.18,0.58,0.13,2.46,,1.15,0.43,6.58,0.78,0,0.26,0.37,0.05,3.01,0.92,0
MATR3,113.78,142.54,190.53,106.95,,174.61,213.54,109.22,180.68,188.83,311.76,248.77,279.09,98.93,135.03,247.43
MAU2,19.82,17.64,5.48,57.67,,7.24,7.97,36.04,7.44,12.09,17.22,6.53,2.21,58.72,20.88,22.51
MAVS,4.88,17.71,6.53,19.2,,5.53,5.45,55.87,7.42,15.82,4.56,2.68,1.99,18.46,55.78,10.75
MAX,50.73,46.92,126.21,38.71,,129.54,193.07,41.79,118.8,118.89,125.68,174.22,152.78,70.15,70.28,103.85
MAZ,224.33,300.2,41.69,420.28,,37.21,11.52,517.48,27.29,32.14,20.9,17.78,38.76,602.72,232.94,54
MB,36.55,24.47,5.84,35.7,,0.29,14.94,39.97,62.76,8.61,3.24,1.38,1.49,0.1,13.39,1.25
MB21D1,3.43,10.37,7.24,62.75,,10.53,54.01,0.68,3.75,3.81,61.6,11.8,20.86,13.64,2.42,13.38
MB21D2,11.21,3.31,7.24,8.85,,13.38,18.79,0.17,3.58,20.28,19.17,18.18,3.94,5.54,3.89,29.29
MBD1,23.39,37.4,21.98,53.52,,34.59,17.55,16.36,35.33,26.59,46.82,38.22,14.15,56.25,57.65,42.35
MBD2,30.6,56.43,22.98,81.6,,52.04,23.33,9.72,55.14,36.12,38.57,66.83,200.26,28.01,43.49,16.2
MBD3,28.12,76.31,2.98,90.68,,1.4,1.08,67.31,0.36,2.4,0.97,0.52,2.24,102.76,84.16,4.73
MBD3L1,0,0,4.12,0,,1.8,9.66,0,1.16,1.48,0,4.79,0,0,0,0
MBD3L2,0,0,17.51,0,,15.47,11.89,0,9.77,0,0,23.32,0,0,0,0
MBD3L3,0,0,14.63,0,,27.7,23.36,0,5.84,0,0,15.32,0,0,0,0
MBD3L4,0,0,0,0,,1.13,0,0,6.14,0,0,3.25,0,0,0,0
MBD3L5,0,0,0,0,,0,0,0,0.7,0,0,3.86,0,0,0,0
MBD4,26.75,29.69,64.38,47.67,,122.09,94.2,24.28,55.03,123.72,122.4,58.49,48.21,43.76,33.55,119.24
MBD5,3.45,7.03,22.22,4.98,,36.82,17.21,2.81,17.84,15.84,22.71,19.24,9.88,7.68,5.44,36.34
MBD6,17.45,16.28,24.06,31.45,,23.33,11.53,13.54,31.78,29.99,10.66,18.83,26.65,20.41,24.05,52.86
MBIP,40.58,25.23,20.28,14.53,,35.17,33.39,12.29,22.89,27.67,109.83,23.96,44.06,34.52,24.44,53.36
MBL2,0,0,1.68,0,,2.38,0.46,0,1.13,0,0,1.24,0,0.03,0,0
MBLAC1,11.45,2.12,5.54,6.66,,12.12,6.23,5.72,13.43,1.58,6.24,3,2.73,8.06,21.17,19.06
MBLAC2,1.97,2.41,12.39,4.4,,18.53,15.37,5.37,8.73,14.08,12.57,15.9,8.93,3.04,4.03,10.44
MBNL1,33.14,30.36,58.45,49.88,,165.88,79.18,33.91,60.54,62.94,177.14,123.91,71.27,84.38,56.8,88.53
MBNL2,18.85,41.62,48.53,44.97,,106.51,245.92,45.82,123.41,113.59,325.37,122.42,56.79,42.82,52.23,145.76
MBNL3,2.63,10.65,3.37,6.79,,6.2,3.4,1.37,13.49,5.66,8.92,1.68,1.12,12.02,5.62,4.83
MBOAT1,16.12,22.1,8.24,28.04,,10.81,33.13,2.72,4.71,9.96,71.88,20.99,13.38,61.11,10.92,39.47
MBOAT2,52.51,52.62,7.92,15.12,,12.61,12.56,5.71,9.63,50.37,92.07,8.38,12.33,22.28,15.04,37.46
MBOAT4,0.02,0.15,1.02,0,,2.97,0.84,0,0.08,2.43,0.13,1.11,0,0,0,0.86
MBOAT7,33.21,48.39,28.83,43.2,,27.31,47.77,58.81,57.21,57.64,15.63,17.3,19.16,146.75,133.52,32.51
MBP,1.61,29.12,1.02,82.43,,2.39,1.69,11.4,3.16,0.02,0.4,0.68,4.33,10.29,11.62,7.28
MBTD1,19.41,15.71,20.97,27.85,,17.87,20.33,16.89,16.69,21.04,54.33,34.99,21.9,14.75,7.7,58.19
MBTPS1,74.13,112,59.79,40.48,,81.17,54.2,70.2,62.07,178.47,118.74,33.64,67.59,190.55,100.57,64.54
MBTPS2,6.35,12.92,34.18,9.05,,28.69,9.84,7.76,44.04,31.19,27.01,31.72,15.72,25.61,19.63,62.92
MC1R,4.45,9.9,2.38,5.81,,1.96,1.35,5.94,2.69,10.74,5.97,0.9,10.33,11.58,7.62,6.49
MC2R,0,0,0.47,0,,1.35,0.98,0,0.33,0,0,0.69,0,0,0,0
MC3R,0.04,0,2.32,0,,4.55,1.55,0,1.99,0,0,3.19,0,0,0,0
MC4R,0.17,0,2.59,0,,15.6,1.05,0,2.02,0,0,7.28,0,0.29,0,1.12
MC5R,0,0,2.15,0,,10.64,3.62,0,1.43,0,25.8,2.97,0,0,0.18,0.12
MCAM,211.96,170.57,0.59,8.13,,3.22,7.62,15.52,6.15,0.06,10.38,2.36,0.44,22.99,109.04,0.18
MCAT,17.99,13.68,6.57,17,,10.39,7.14,71.28,8.82,14.89,10.48,7.56,3.33,33.25,22.39,17.95
MCC,0.76,2.41,15.78,6.42,,36.87,11.02,3.64,5.05,8.84,0.38,7.83,5.23,4.22,22.58,1.78
MCCC1,151.76,74.52,72.87,18.81,,121.95,119.31,66.68,70.55,22.25,210.89,67.51,83.35,28.07,55.04,56.47
MCCC2,35.14,64.78,28.46,36.58,,39.83,33.6,49.48,44.12,168.75,38.46,17.43,24.19,31.25,52.04,29.75
MCCD1,0,0,2.22,0,,4.81,3.56,0,1.19,0.18,0,1.87,0,0,0.21,0
MCEE,25.72,21.43,40.99,33.73,,67.15,56.54,52.51,58.82,80.72,54.37,95.68,167.47,9.23,11.14,36.34
MCEMP1,0,0,0.21,0,,0,0.14,0,0.03,0,0.08,0,0,0,0,0
MCF2,0.14,0.05,1.55,0.05,,2.56,4.09,0.03,1.42,5.65,0.1,2.13,2.6,0.03,0.2,1.97
MCF2L,17.56,8.23,6.81,28.45,,4.89,23.42,0.17,23.51,18.91,7.33,4.14,10.99,14.69,8.51,69.75
MCF2L2,0.26,0,0.38,0.01,,3.07,1.23,0.18,0.12,0.12,0.06,0.99,0.13,0.04,0.19,12.38
MCFD2,43.09,67.87,28.58,45.91,,25.56,42.93,58.9,57.05,36.74,37.45,33.75,75.24,67.4,97.14,45.18
MCHR1,0,0,0.78,0,,5.32,0.9,0.74,0.27,0,0.71,2.58,0.37,0.92,0.64,0.38
