Sample,Type,PIM046_A3,PIM056_A3,185_057_X0_P3,185_026_X0_P3,185_037_X0_P3,185_071_X0_P3,185_002_X0_P3,185_049_X0_P3,185_128_X0_P3,185_129_X0_P3
Trial_ID,Meta,185,185,185,185,185,185,185,185,185,185
Patient_ID,Meta,32,40,57,26,37,71,2,49,128,129
TimePoint,Meta,Pre,Pre,Pre,Pre,Pre,Pre,Pre,Pre,Pre,Pre
Passage,Meta,P3,P3,P3,P3,P3,P3,P3,P3,P3,P3
Source,Meta,PDX,PDX,PDX,PDX,PDX,PDX,PDX,PDX,PDX,PDX
Have_RNA_seq,Meta,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PIM_ID,Meta,PIM046,PIM056,PIM077,PIM040,PIM053,PIM091,PIM010,PIM068,PIM163,PIM164
RCB_status,Meta,RCB-II,RCB-III,RCB-II,RCB-II,RCB-I,RCB-III,RCB-II,pCR,RCB-III,RCB-I
VB_Subtype,Meta,BL2,BL2,BL2,LAR,LAR,LAR,M,M,M,UNS
OR56A5,Exp,0,0,0,0,231,514,6,103,379,257
OR56B1,Exp,0,0,0,0,460,480,0,607,819,796
OR56B4,Exp,0,0,0,0,107,1119,0,351,781,597
OR5A1,Exp,0,0,0,0,53,248,0,212,544,286
OR5A2,Exp,0,0,0,0,150,88,0,103,323,165
OR5AC2,Exp,0,0,0,0,20,30,0,15,296,71
OR5AK2,Exp,0,0,0,0,246,188,0,275,867,239
OR5AL1,Exp,0,0,0,0,0,0,0,0,0,0
OR5AN1,Exp,0,0,0,0,58,53,0,101,317,110
OR5AP2,Exp,0,0,0,0,59,130,0,89,299,165
OR5AR1,Exp,0,0,0,0,225,1094,0,548,1134,541
OR5AS1,Exp,0,0,0,0,281,158,0,267,507,379
OR5AU1,Exp,1,0,0,37,120,353,5,138,585,481
OR5B12,Exp,0,0,0,0,73,73,0,85,399,136
OR5B17,Exp,0,0,0,0,182,258,0,234,495,331
OR5B2,Exp,0,0,0,0,84,210,0,207,484,236
OR5B21,Exp,0,0,0,0,78,196,1,153,388,182
OR5B3,Exp,0,0,0,0,72,82,0,91,317,86
OR5C1,Exp,0,0,0,0,48,82,0,17,282,42
OR5D13,Exp,0,0,0,0,72,45,0,43,288,116
OR5D14,Exp,0,0,0,0,70,363,0,356,670,399
OR5D16,Exp,0,0,0,0,127,263,0,277,748,346
OR5D18,Exp,0,0,0,0,78,194,0,176,432,187
OR5F1,Exp,0,0,0,0,113,171,0,258,571,200
OR5H1,Exp,0,0,0,0,144,111,0,87,534,53
OR5H14,Exp,0,0,0,0,74,53,0,33,342,28
OR5H15,Exp,0,0,0,1,252,140,0,148,700,106
OR5H2,Exp,0,0,0,0,149,145,0,116,542,91
OR5H6,Exp,0,0,0,0,160,161,0,111,478,85
OR5I1,Exp,0,0,0,0,178,162,0,152,362,194
OR5J2,Exp,0,0,0,0,132,102,0,160,325,167
OR5K1,Exp,0,0,0,0,101,113,0,59,707,79
OR5K2,Exp,0,0,0,0,155,233,0,128,990,160
OR5K3,Exp,0,0,0,0,215,114,0,180,890,89
OR5K4,Exp,0,0,0,0,103,151,0,111,726,83
OR5L1,Exp,0,0,0,0,156,110,0,98,360,107
OR5L2,Exp,0,0,0,0,53,159,0,168,524,169
OR5M1,Exp,0,0,0,0,115,234,0,113,550,119
OR5M10,Exp,0,0,0,0,110,181,0,130,455,98
OR5M11,Exp,0,0,0,0,200,701,0,327,808,341
OR5M3,Exp,0,0,0,0,48,23,0,48,420,35
OR5M8,Exp,0,0,0,0,38,117,0,73,554,124
OR5M9,Exp,0,0,0,0,33,63,0,47,317,60
OR5P2,Exp,3,0,0,0,185,432,0,251,451,272
OR5P3,Exp,4,0,0,0,59,226,1,97,276,130
OR5R1,Exp,0,0,0,0,504,908,0,540,1327,625
OR5T1,Exp,0,0,0,0,53,42,0,63,276,61
OR5T2,Exp,0,0,0,0,74,59,0,49,204,75
OR5T3,Exp,0,0,0,0,94,49,0,75,223,101
OR5V1,Exp,0,0,0,0,101,66,0,50,283,118
OR5W2,Exp,0,0,0,0,26,32,0,50,148,44
OR6A2,Exp,0,0,0,0,108,524,2,118,448,327
OR6B1,Exp,0,0,0,0,62,147,0,96,425,209
OR6B2,Exp,0,0,0,0,72,68,0,69,209,73
OR6B3,Exp,0,0,0,0,36,26,0,29,221,63
OR6C1,Exp,0,0,0,0,50,76,0,48,145,31
OR6C2,Exp,0,0,0,0,71,62,0,68,218,67
OR6C3,Exp,0,0,0,0,209,163,0,143,249,178
OR6C4,Exp,0,0,0,0,279,278,0,168,347,262
OR6C6,Exp,0,0,0,0,35,138,0,53,191,47
OR6C65,Exp,0,0,0,0,95,114,0,77,224,96
OR6C68,Exp,0,0,0,0,105,119,0,80,162,73
OR6C70,Exp,0,0,0,0,101,77,3,81,196,58
OR6C74,Exp,0,0,0,0,268,307,0,289,369,258
OR6C75,Exp,0,0,0,0,223,296,0,255,400,288
OR6C76,Exp,0,0,0,0,179,142,0,122,232,143
OR6F1,Exp,0,0,0,0,89,32,0,42,467,46
OR6J1,Exp,0,0,0,1,106,60,0,25,380,166
OR6K2,Exp,0,0,0,0,787,796,0,583,813,636
OR6K3,Exp,0,0,0,0,191,212,0,202,632,190
OR6K6,Exp,0,0,0,0,250,194,0,190,475,213
OR6M1,Exp,0,0,0,0,126,397,0,345,270,266
OR6N1,Exp,0,0,0,0,99,109,0,109,309,145
OR6N2,Exp,0,0,0,0,857,742,0,714,999,671
OR6P1,Exp,0,0,0,0,194,479,0,344,830,446
OR6Q1,Exp,0,0,0,0,34,96,0,132,220,108
OR6S1,Exp,0,0,0,0,78,65,0,34,311,128
OR6T1,Exp,0,0,0,0,126,281,1,179,237,215
OR6V1,Exp,0,0,0,0,135,108,0,77,500,366
OR6X1,Exp,0,0,0,0,133,224,0,192,274,170
OR6Y1,Exp,0,0,0,0,240,696,0,444,831,456
OR7A10,Exp,0,0,0,0,229,419,0,274,338,282
OR7A17,Exp,0,0,0,0,129,138,0,130,284,154
OR7A5,Exp,0,1,4,1,166,614,25,241,766,321
OR7C1,Exp,0,1,0,0,82,146,1,106,381,148
OR7C2,Exp,0,0,0,0,116,140,0,117,420,185
OR7D2,Exp,2,0,1,0,284,1140,2,752,1371,844
OR7D4,Exp,0,0,0,0,100,338,0,219,493,189
OR7E24,Exp,0,0,0,0,95,159,0,136,288,158
OR7G1,Exp,0,0,0,0,52,66,0,63,245,92
OR7G2,Exp,0,0,0,0,110,193,0,121,372,175
OR7G3,Exp,0,0,0,0,172,708,0,449,678,592
OR8A1,Exp,0,0,0,0,183,277,0,346,235,243
OR8B12,Exp,0,0,0,0,114,180,0,215,255,157
OR8B2,Exp,0,0,0,0,472,285,0,303,289,214
OR8B3,Exp,0,0,0,0,269,302,0,331,265,259
OR8B4,Exp,0,0,0,0,56,78,0,123,155,95
OR8B8,Exp,0,0,0,0,90,82,0,91,129,88
OR8D1,Exp,0,0,0,0,614,452,0,412,359,368
OR8D2,Exp,0,0,0,0,76,33,0,66,153,87
OR8D4,Exp,0,0,0,0,41,68,0,48,144,69
OR8G1,Exp,0,0,0,0,339,210,0,236,357,223
OR8G2P,Exp,0,0,0,0,376,221,0,252,183,119
OR8G5,Exp,0,0,0,0,128,78,0,112,160,85
OR8H1,Exp,0,0,0,0,46,70,0,80,281,71
OR8H2,Exp,0,0,0,0,221,153,0,188,527,258
OR8H3,Exp,0,0,0,0,129,292,0,334,562,442
OR8I2,Exp,0,0,0,0,75,64,0,69,222,141
OR8J1,Exp,0,0,0,0,47,54,0,98,220,56
OR8J3,Exp,0,0,0,0,41,45,0,31,181,69
OR8K1,Exp,0,0,0,0,147,76,0,134,258,160
OR8K3,Exp,0,0,0,0,66,74,0,75,275,95
OR8K5,Exp,0,0,0,0,101,52,0,78,207,58
OR8S1,Exp,0,0,0,0,118,206,0,128,364,269
OR8U1,Exp,0,0,0,0,5,5,0,3,6,9
OR8U8,Exp,0,0,0,0,0,0,0,0,0,0
OR9A2,Exp,0,0,0,3,192,157,7,87,371,156
OR9A4,Exp,0,0,0,0,134,517,0,127,526,271
OR9G1,Exp,0,0,0,0,0,0,0,0,0,0
OR9G4,Exp,0,0,0,0,119,271,0,121,545,231
OR9G9,Exp,0,0,0,0,0,0,0,0,0,0
OR9I1,Exp,0,0,0,0,75,93,0,149,261,151
OR9K2,Exp,0,0,0,0,102,125,0,93,259,155
OR9Q1,Exp,0,0,1,1,90,186,0,249,676,274
OR9Q2,Exp,0,0,0,2,93,79,0,73,322,181
ORAI1,Exp,1285,820,722,610,396,137,767,141,318,103
ORAI2,Exp,2441,640,290,169,86,85,2720,66,454,169
ORAI3,Exp,1610,1011,340,310,60,44,999,43,331,40
ORAOV1,Exp,1457,686,591,579,361,169,275,238,1209,218
ORC1,Exp,522,618,830,385,1220,1161,381,1346,1947,2225
ORC2,Exp,1442,2069,699,909,3897,973,1255,2693,2064,1529
ORC3,Exp,1666,1177,570,731,3046,667,1975,2317,2131,1031
ORC4,Exp,1741,2211,311,348,3350,834,750,1161,1593,1368
ORC5,Exp,1935,1095,183,487,1471,860,527,1048,1231,647
ORC6,Exp,990,1222,325,282,1739,488,1350,1610,952,664
ORM1,Exp,0,1,9,0,55,129,1,39,335,38
ORM2,Exp,15,9,1,0,50,210,2,22,274,34
ORMDL1,Exp,4574,2069,459,740,1929,187,610,1294,844,673
ORMDL2,Exp,2015,701,395,545,4575,920,343,707,355,517
ORMDL3,Exp,7162,1478,956,1201,845,280,906,293,247,209
OS9,Exp,9807,6974,109434,4089,11880,1818,7278,1648,1196,1806
OSBP,Exp,3976,4881,1266,2058,10374,1666,2281,4644,2682,3310
OSBP2,Exp,258,143,187,366,2566,470,537,434,1983,935
OSBPL10,Exp,973,608,759,737,3973,999,115,330,1849,454
OSBPL11,Exp,886,1246,511,470,4263,1412,713,2735,2319,1986
OSBPL1A,Exp,3808,3145,1041,3185,5287,1580,2094,4681,5428,2232
OSBPL2,Exp,4795,2273,1209,2310,6740,1752,2628,1725,1502,1566
OSBPL3,Exp,879,5064,472,53,13000,1853,1389,2258,5251,2907
OSBPL5,Exp,815,1299,202,190,2357,350,1305,393,2101,602
OSBPL6,Exp,178,149,578,233,1096,1277,89,1799,3982,2894
OSBPL7,Exp,142,236,233,218,359,307,302,178,1582,490
OSBPL8,Exp,4098,2093,1198,932,13231,3746,2331,13266,5307,4320
OSBPL9,Exp,13681,2055,912,1079,3651,2425,526,3526,3016,3092
OSCAR,Exp,3,3,0,3,69,105,10,50,368,106
OSCP1,Exp,697,199,57,13,848,670,52,682,2056,862
OSER1,Exp,1725,1443,942,642,1867,579,474,1222,542,485
OSGEP,Exp,1434,1414,1313,379,2839,1244,268,691,1273,1443
OSGEPL1,Exp,425,310,84,241,908,160,177,602,734,482
OSGIN1,Exp,188,976,35,84,263,167,212,46,795,115
OSGIN2,Exp,15032,1809,270,1195,4479,965,2652,1292,906,483
OSM,Exp,0,0,0,0,85,33,3,52,546,117
OSMR,Exp,464,4354,3601,9,592,3319,961,688,2031,894
OSR1,Exp,326,1951,7,9,206,217,565,111,1205,250
OSR2,Exp,590,6,331,6,243,743,169,93,779,100
OST4,Exp,7774,3312,3215,1610,3746,367,2129,658,178,267
OSTC,Exp,9530,2664,570,1306,4729,803,1994,2538,380,413
OSTF1,Exp,3656,2077,536,758,3919,1088,463,1025,1157,331
OSTM1,Exp,893,913,114,197,1839,352,496,630,439,267
OSTN,Exp,0,0,0,0,50,136,0,145,310,89
OTC,Exp,1,0,0,0,350,717,0,674,792,363
OTOA,Exp,0,0,1,0,924,2296,631,1671,2265,1318
OTOF,Exp,3,1,21,0,875,1199,3,666,6531,1663
OTOG,Exp,0,0,26,0,566,799,1,825,3825,1523
OTOGL,Exp,4,4,0,98,2539,2562,9,2169,3615,2786
OTOL1,Exp,0,0,0,0,131,316,0,420,910,637
OTOP1,Exp,2,10,1,0,139,122,3,175,304,173
OTOP2,Exp,0,0,0,0,116,149,0,77,725,280
OTOP3,Exp,0,0,0,0,253,282,1,141,818,661
OTOR,Exp,0,0,0,0,337,222,0,105,404,122
OTOS,Exp,0,0,0,0,9,9,36,22,226,43
OTP,Exp,1,2,3,1,83,125,1,56,537,61
OTUB1,Exp,4721,4668,1724,1834,1774,288,1242,326,340,511
OTUB2,Exp,194,442,393,89,199,102,83,108,648,93
OTUD1,Exp,237,261,117,197,462,276,433,516,481,154
OTUD3,Exp,142,346,754,315,1556,1293,835,841,6741,1702
OTUD4,Exp,3382,2296,785,892,14786,4740,1186,9344,4327,4954
OTUD5,Exp,1736,1330,1291,848,6449,911,1639,1469,958,1866
OTUD6A,Exp,0,0,0,0,46,38,0,29,287,73
OTUD6B,Exp,2322,722,323,514,3531,525,487,1172,376,260
OTUD7A,Exp,28,6,41,42,242,189,44,88,974,348
OTUD7B,Exp,2306,1178,943,2483,4256,2844,1989,3610,3986,3403
OTULIN,Exp,1253,1244,954,995,1432,1252,1655,804,645,1848
OTX1,Exp,5074,101,675,240,3407,201,757,767,1926,281
OTX2,Exp,0,0,0,2,81,286,4,194,537,765
OVCA2,Exp,37,61,18,17,10,2,26,2,9,10
OVCH1,Exp,1,0,45,3,4307,1707,6,1421,2509,864
OVCH2,Exp,264,0,2,0,310,769,0,533,1201,402
OVGP1,Exp,56,29,0,49,451,683,21,390,1811,870
OVOL1,Exp,879,930,1957,302,879,110,283,70,782,183
OVOL2,Exp,578,426,19,159,801,196,250,274,957,251
OVOL3,Exp,2,0,0,1,48,43,13,30,434,68
OXA1L,Exp,7919,3337,3371,4144,10737,920,894,1491,1119,2231
OXCT1,Exp,4536,3716,4656,1323,2658,2399,2306,2452,2785,1605
OXCT2,Exp,9,20,12,6,66,58,4,76,452,94
OXER1,Exp,223,6,13,1,196,83,226,58,554,268
OXGR1,Exp,160,9,0,53,826,95,1,126,343,357
OXLD1,Exp,1156,1005,170,399,2350,361,265,575,412,625
OXNAD1,Exp,595,306,262,453,1758,1395,381,731,1351,982
OXR1,Exp,5449,3376,1166,12828,13097,2730,1912,5812,1674,922
OXSM,Exp,531,358,77,345,1040,344,115,362,815,286
OXSR1,Exp,2520,2329,1393,1031,4666,3061,1827,2272,3987,1116
OXT,Exp,0,0,0,0,16,16,1,30,188,29
OXTR,Exp,34,57,1,58,2425,544,184,487,513,219
P2RX1,Exp,0,0,3,0,116,154,0,62,818,112
P2RX2,Exp,0,0,0,0,74,190,117,87,852,110
P2RX3,Exp,0,0,0,2,99,137,0,179,1292,307
P2RX4,Exp,1418,1633,470,341,1193,339,642,209,825,423
P2RX5,Exp,2,12,21,160,119,145,6,81,967,111
P2RX6,Exp,1,3,25,19,236,65,22,88,861,274
P2RX7,Exp,201,48,28,39,525,860,418,689,1311,773
P2RY1,Exp,138,47,122,76,288,266,21,411,618,230
P2RY10,Exp,0,0,1,0,140,163,0,90,200,151
P2RY11,Exp,0,0,0,0,0,0,0,0,0,0
P2RY12,Exp,0,0,0,0,89,119,0,168,330,108
P2RY13,Exp,1,0,1,0,639,805,0,622,829,546
P2RY14,Exp,0,0,0,0,239,583,0,520,474,418
P2RY2,Exp,65,869,269,293,1844,691,1191,133,363,163
P2RY4,Exp,0,0,1,8,33,57,10,30,247,78
P2RY6,Exp,13,20,0,2,64,147,129,86,275,82
P2RY8,Exp,1,1,0,0,44,29,1,41,209,32
P3H1,Exp,2095,961,504,659,2755,423,2038,888,3241,1095
P3H2,Exp,6898,2889,680,17,341,484,371,690,1306,487
P3H3,Exp,198,2,73,187,315,179,3246,324,1019,333
P3H4,Exp,1836,399,1252,298,321,164,1280,199,545,242
P4HA1,Exp,3211,15892,1672,1950,5285,1471,5770,3084,3079,1904
P4HA2,Exp,3307,5386,1272,566,5010,1652,1340,1910,1570,1311
P4HA3,Exp,85,39,1,15,369,761,42,478,755,629
P4HB,Exp,28903,46197,11077,45624,27833,2420,23114,2475,1760,4394
P4HTM,Exp,1969,211,156,374,3488,475,111,211,859,625
PA2G4,Exp,7227,5789,4467,4312,37102,3561,3779,10599,3447,7236
PAAF1,Exp,635,576,176,815,2060,899,187,943,533,658
PABPC1,Exp,94048,52058,49987,122179,237215,25519,41251,146735,16751,8530
PABPC1L,Exp,299,285,1057,565,596,695,369,674,2021,1957
PABPC1L2A,Exp,0,0,0,0,105,186,0,113,314,334
PABPC1L2B,Exp,0,0,0,0,85,77,0,80,231,167
PABPC3,Exp,42,27,210,348,891,145,127,530,273,63
PABPC4,Exp,7068,3903,3038,4239,8940,2365,4609,9578,3222,3206
PABPC4L,Exp,284,11,12,9,234,220,696,351,277,232
PABPC5,Exp,16,0,0,0,190,382,25,190,489,895
PABPN1,Exp,510,291,670,345,5,5,396,3,59,30
PABPN1L,Exp,0,0,0,0,64,79,1,22,653,63
PACRG,Exp,15,4,0,1,157,244,22,384,915,218
PACRGL,Exp,411,395,110,328,861,206,394,470,466,717
PACS1,Exp,5315,3040,6110,4911,8201,1144,3306,975,1927,802
PACS2,Exp,4654,2657,2348,1466,7363,748,2046,688,3934,1125
PACSIN1,Exp,366,2,65,307,468,284,63,141,1698,554
PACSIN2,Exp,4843,3279,979,11664,3201,411,2702,1394,1253,665
PACSIN3,Exp,3470,1808,806,1451,1104,210,1722,126,855,159
PADI1,Exp,1,2,1,0,267,418,0,128,1442,481
PADI2,Exp,847,22740,495,13071,19193,876,1466,174,1860,825
PADI3,Exp,0,0,3182,838,397,269,0,146,1362,313
PADI4,Exp,0,0,0,2,140,235,0,114,1895,421
PADI6,Exp,0,0,0,0,241,266,0,156,1761,483
PAEP,Exp,0,0,0,0,45,100,0,41,475,51
PAF1,Exp,1780,2178,1499,976,4373,589,1295,840,753,1055
PAFAH1B1,Exp,5734,7624,2075,1725,5479,3226,3942,3938,2195,2114
PAFAH1B2,Exp,12228,6633,3082,3128,5241,1137,3453,2121,680,845
PAFAH1B3,Exp,1490,1639,1220,939,2841,474,1979,481,287,557
PAFAH2,Exp,317,1161,171,535,1651,759,390,303,980,752
PAG1,Exp,612,256,41,678,815,678,846,586,806,480
PAGE1,Exp,0,0,0,0,115,310,0,160,328,364
PAGE2,Exp,0,0,0,1201,141,150,0,47,164,176
PAGE2B,Exp,0,2,0,1,148,90,1,53,152,176
PAGE3,Exp,0,0,0,0,161,129,0,71,248,149
PAGE4,Exp,0,0,0,0,151,60,0,37,159,83
PAGE5,Exp,0,0,0,2,134,164,1,93,354,223
PAGR1,Exp,2105,1944,1746,1355,2980,559,1968,706,618,611
PAH,Exp,3,0,2,3,600,977,0,637,983,1036
PAICS,Exp,21743,21009,4982,4643,10275,1746,4560,7682,1696,1645
PAIP1,Exp,3707,5017,2738,3008,7581,3170,3202,4981,2540,1754
PAIP2,Exp,5598,2786,1195,1614,14956,3150,1451,8511,2245,2607
PAIP2B,Exp,846,410,563,1551,5147,1144,382,605,847,446
PAK1,Exp,1949,2743,1072,2648,8531,2606,1817,5636,1309,1486
PAK1IP1,Exp,2800,2244,968,744,5810,436,249,1626,1308,1924
PAK2,Exp,11508,6057,1917,2109,7377,1470,4275,8366,1834,1927
PAK3,Exp,115,21,125,4,406,792,43,1414,778,2792
PAK4,Exp,5459,2788,4305,2603,5202,684,6403,666,1157,695
PAK5,Exp,5,0,38,0,1061,1561,0,686,2221,1638
PAK6,Exp,3,8,9,1,0,0,26,1,9,5
PALB2,Exp,2064,1123,516,924,3985,1622,782,1898,1742,2251
PALD1,Exp,45,50,34,11,335,273,527,379,1752,597
PALLD,Exp,8010,5296,5617,1015,34442,2943,3658,14992,2731,3222
PALM,Exp,0,0,0,48,77,192,146,149,591,602
PALM2,Exp,473,304,335,15,465,1048,710,274,831,245
PALM2-AKAP2,Exp,0,0,6,0,13,32,4,9,38,8
PALM3,Exp,60,9,13,28,871,1107,465,299,951,366
PALMD,Exp,2745,318,136,5007,1682,751,94,323,1742,663
PAM,Exp,3336,12355,1293,1292,4321,4687,9554,26826,3411,11714
PAM16,Exp,24,8,1,5,4,7,5,6,27,3
PAMR1,Exp,5,10,6,1,238,330,1,216,1536,409
PAN2,Exp,658,593,332,604,3350,1567,515,1999,2027,1536
PAN3,Exp,3484,1518,741,1323,4548,1796,1021,3673,2270,1179
PANK1,Exp,502,1321,408,304,1601,431,648,598,1089,985
PANK2,Exp,907,1729,632,861,3932,1892,949,1590,2030,2199
PANK3,Exp,4322,4020,1416,1963,5226,1886,1821,4721,1726,2175
PANK4,Exp,207,498,536,460,894,337,469,496,3146,618
PANO1,Exp,45,36,30,12,0,0,96,1,3,5
PANX1,Exp,1481,1211,580,492,1219,277,582,503,386,303
PANX2,Exp,250,253,34,170,35,34,861,90,560,106
PANX3,Exp,0,0,0,0,584,450,0,436,355,363
PAOX,Exp,209,183,126,149,510,68,168,116,857,265
PAPD4,Exp,2143,1859,669,469,5919,3931,947,2372,2428,1170
PAPD5,Exp,661,1975,311,512,5033,2015,823,3571,2180,1356
PAPD7,Exp,2370,2830,2110,1010,12540,2228,5373,10889,1815,5905
PAPLN,Exp,69,6,351,85,369,253,2800,273,2012,331
PAPOLA,Exp,12599,9244,5186,3040,56870,7859,4637,12276,10625,6674
PAPOLB,Exp,1,11,0,0,1389,639,2,473,1937,1288
PAPOLG,Exp,1035,879,486,331,10988,2401,692,2906,5550,2783
PAPPA,Exp,0,321,7,0,814,2323,2,1222,2659,876
PAPPA2,Exp,1,1,0,0,1632,2548,14,1802,5267,3800
PAPSS1,Exp,6573,7116,3256,1468,5742,3634,9553,10788,3211,1845
PAPSS2,Exp,67,949,1,4,20533,2786,414,997,1589,939
PAQR3,Exp,1712,810,280,170,1526,533,392,1373,1569,490
PAQR4,Exp,2635,6618,1610,2539,956,131,4791,84,267,151
PAQR5,Exp,480,147,145,144,1223,424,117,182,929,262
PAQR6,Exp,345,649,38,30,2045,478,380,940,1023,397
PAQR7,Exp,264,548,611,159,418,128,472,116,216,194
PAQR8,Exp,158,1327,0,403,475,474,2191,466,1818,437
PAQR9,Exp,0,0,0,0,87,210,7,130,512,221
PARD3,Exp,4472,2617,3756,1214,21972,7980,1955,5819,9957,6367
PARD3B,Exp,379,256,22,17,2891,943,125,1615,2187,1453
PARD6A,Exp,212,309,38,100,236,146,12,47,466,341
PARD6B,Exp,1555,421,429,317,1824,1084,987,595,1278,682
PARD6G,Exp,645,213,1079,74,234,71,441,59,764,102
PARG,Exp,1920,1681,541,470,21896,4908,796,11490,8960,11923
PARK7,Exp,3265,6822,4096,3571,16723,2701,2420,4004,851,2541
PARL,Exp,6594,1264,871,592,2175,1024,1034,2129,1489,984
PARM1,Exp,126,867,528,9,396,736,6,503,1035,1501
PARN,Exp,2950,2707,1025,599,6131,2670,1969,4621,2760,2095
PARP1,Exp,8363,11008,8471,4809,29926,1439,15023,9518,6429,8600
PARP10,Exp,3397,2249,576,3385,680,172,1375,44,876,148
PARP11,Exp,142,118,904,97,1641,377,292,661,780,355
PARP12,Exp,1648,1377,623,295,2068,920,352,737,1391,907
PARP14,Exp,459,1500,991,414,8820,2708,115,1527,2740,1859
PARP15,Exp,1,0,1,0,422,717,0,615,1698,620
PARP16,Exp,554,458,229,358,604,235,683,127,694,573
PARP2,Exp,2482,1721,1109,1194,11652,2792,416,1649,1577,3118
PARP3,Exp,353,578,172,253,475,389,266,190,1138,201
PARP4,Exp,4893,4528,586,1022,21841,2784,2204,6467,6207,1715
PARP6,Exp,3233,1690,1247,991,3490,2368,2648,3341,2562,6313
PARP8,Exp,390,624,74,8,4987,2597,7,1428,2157,1746
PARP9,Exp,1568,966,483,582,3097,1332,402,690,1523,1044
PARPBP,Exp,775,439,241,195,2213,721,221,1008,1224,640
PARS2,Exp,801,300,130,287,118,70,235,97,253,97
PARVA,Exp,2280,2927,847,740,3172,1942,3869,2021,1410,901
PARVB,Exp,25,369,299,1848,367,146,957,360,1047,364
PARVG,Exp,0,0,1,18,823,291,73,275,1139,502
PASD1,Exp,0,0,0,2,911,1451,0,906,1194,1959
PASK,Exp,442,464,673,290,1225,404,288,659,2025,1470
PATE1,Exp,0,0,0,0,678,446,0,547,576,403
PATE2,Exp,2,6,0,16,286,188,54,221,283,172
PATE3,Exp,0,0,0,0,121,110,0,108,127,119
PATE4,Exp,0,0,0,0,897,841,0,970,589,785
PATJ,Exp,3705,3194,1509,3386,17171,4424,3523,4832,6199,6381
PATL1,Exp,3504,6219,1764,1030,7861,1810,1992,5813,3927,4823
PATL2,Exp,5,3,2,1,228,299,13,151,949,612
PATZ1,Exp,2892,830,1658,3008,5596,278,1924,1343,1459,1143
PAWR,Exp,1394,983,709,673,4960,991,383,3239,911,1062
PAX1,Exp,1,0,24,4,197,270,272,82,1236,375
PAX2,Exp,0,62,0,1,274,333,0,180,1652,261
PAX3,Exp,6402,0,329,1,444,473,2,815,1613,670
PAX4,Exp,0,0,0,0,255,562,0,318,1225,27572
PAX5,Exp,0,2,11,0,290,423,23,293,1483,422
PAX6,Exp,4,0,394,2,1818,734,672,550,2594,1084
PAX7,Exp,0,1,0,0,2361,265,1,76,869,309
PAX8,Exp,3,899,2,22,221,283,8,204,1057,365
PAX9,Exp,1,138,69,176,6175,232,326,143,875,561
PAXBP1,Exp,1796,1901,984,1022,8863,1902,3544,3930,5331,2130
PAXIP1,Exp,1929,1700,528,556,7008,1471,1077,1610,2525,2793
PAXX,Exp,2372,1478,358,757,2777,331,149,357,304,364
PBDC1,Exp,1361,720,268,195,3555,528,446,670,506,404
PBK,Exp,2530,1068,249,298,734,474,593,322,321,610
PBLD,Exp,88,739,62,67,695,558,113,591,851,1163
PBOV1,Exp,0,0,0,0,113,62,0,86,199,74
PBRM1,Exp,2618,2226,1829,598,21872,3721,2439,5739,7658,5046
PBX1,Exp,6712,1594,1754,1942,11645,3248,4139,1956,2352,1400
PBX2,Exp,2290,2732,2801,1313,5879,879,3348,1806,1870,2698
PBX3,Exp,1262,511,510,594,1862,4125,402,2899,1447,3009
PBX4,Exp,52,29,2,12,431,170,75,82,390,251
PBXIP1,Exp,6110,2147,803,495,2462,290,2244,333,1370,769
PC,Exp,648,2186,5030,1770,1491,549,957,267,2204,503
PCBD1,Exp,1057,4094,992,802,4710,372,755,459,376,931
PCBD2,Exp,415,524,118,187,150,145,141,159,236,107
PCBP1,Exp,10767,9720,7999,5526,28168,4351,6264,6119,2220,1269
PCBP2,Exp,12851,9203,12234,8531,21992,3832,10471,10447,3167,7794
PCBP3,Exp,0,193,0,11,174,267,216,286,3465,198
PCBP4,Exp,1936,2113,305,501,986,150,1956,204,816,676
PCCA,Exp,1127,432,394,363,12229,1283,552,877,1898,1764
PCCB,Exp,2040,2333,1575,1583,8132,1723,692,1648,1589,1523
PCDH1,Exp,2744,2586,96,6276,3526,2022,4825,1466,1000,732
PCDH10,Exp,32,1,0,3,841,1040,4621,555,1150,520
PCDH11X,Exp,331,12,0,0,987,505,1500,278,1221,721
PCDH11Y,Exp,12,1,0,0,2,1,66,2,2,2
PCDH12,Exp,0,12,0,0,140,409,18,160,982,275
PCDH15,Exp,2,0,0,0,3608,2660,0,2734,4801,3145
PCDH17,Exp,7,3,3,11,525,597,265,405,1224,711
PCDH18,Exp,13897,5,196,2,313,464,1427,729,1019,324
PCDH19,Exp,23,48,3,14,1602,1888,21,1198,1569,2187
PCDH20,Exp,29,7,0,18,664,281,200,395,524,246
PCDH7,Exp,310,89,357,204,5737,838,1,174,602,434
PCDH8,Exp,9,21,44,12,210,116,317,67,360,541
PCDH9,Exp,159,65,0,142,1176,1177,26,999,1516,2651
PCDHA1,Exp,1,0,0,0,181,237,275,90,721,894
PCDHA10,Exp,5,18,0,1,4440,885,61,164,880,1367
PCDHA11,Exp,195,221,4,20,1007,495,38,254,789,1485
PCDHA12,Exp,20,83,2,12,1453,350,35,290,1851,1225
